,scientific_name,decimalLongitude,decimalLatitude
2699,Incilius cristatus,-92.36949636906228,14.929759280481434
2700,Incilius guanacaste,,
2701,Incilius spiculatus,-95.01999806275768,16.79075612944694
2702,Indirana brachytarsus,76.389999,10.45
2703,Indirana leptodactyla,,
2704,Indochinamon villosum,,
2705,Ingerophrynus gollum,101.784045,3.184
2706,Inia geoffrensis,-65.98,-2.55
2707,Iodopleura pipra,-40.134544,-14.413223
2708,Iomon nan,,
2709,Iotichthys phlegethontis,-111.939285,40.746745
2710,Irmengardia nemestrinus,,
2711,Ischikauia steenackeri,135.922226,35.054878
2712,Ischnura ezoin,,
2713,Ischnura thelmae,-144.364,-27.6181
2714,Islamia pallida,,
2715,Isophya ciucasi,,
2716,Isophya longicaudata ssp. longicaudata,,
2717,Isophya nagyi,,
2718,Isophya stepposa,,
2719,Isopora togianensis,122.137,-0.47033
2720,Isosticta gracilior,166.6701,-22.1225
2721,Isotomus jarmilae,,
2722,Isthmohyla infucata,-82.65,9.25
2723,Isthmohyla rivularis,-84.09735724386806,10.091772949095146
2724,Isthmura gigantea,-96.92838472916944,19.54561915223437
2725,Isurus oxyrinchus,151.766,-32.933
2726,Italohippus albicornis,14.445677,41.329926
2727,Italopodisma fiscellana,13.360306,42.904595
2728,Italopodisma trapezoidalis,13.966058,41.765129
2729,Janetaescincus braueri,55.433333,-4.65
2730,Jardinella acuminata,,
2731,Jardinella pallida,,
2732,Jivarus ochraceus,,
2733,Joiceya praeclarus,,
2734,Juga occata,-121.47755,41.05816
2735,Kadarsanomys sodyi,106.922296,-6.796525
2736,Kalophrynus cryptophonus,,
2737,Kanakysaurus viviparus,164.217778,-20.42
2738,Kassina jozani,39.410958,-6.350742
2739,Kawanaphila pachomai,116.1167,-32.08333
2740,Kerivoula agnella,,
2741,Kimboraga exanima,125.1,-15.3
2742,Kinyongia matschiei,38.5,-4.8
2743,Kinyongia tenuis,38.633333,-5.1
2744,Kittacincla cebuensis,,
2745,Kneria sp. nov. 'South Africa',,
2746,Kobus leche ssp. kafuensis,27.0,-15.66667
2747,Kosciuscola cuneatus,148.2878,-36.51389
2748,Kosciuscola sp. nov. 3 'K. cuneatus Sth NSW Clade',,
2749,Kosciuscola tristis ssp. tristis,,
2750,Kurixalus viridescens,,
2751,Labeobarbus ethiopicus,38.482783,8.238883
2752,Labeobarbus mbami,,
2753,Labeobarbus roylii,12.34,-3.56
2754,Labeo lankae,,
2755,Labeo seeberi,19.0333,-32.7167
2756,Laccophilus pseustes,,
2757,Laevicaulis haroldi,31.190807,-29.964902
2758,Lagothrix lagothricha ssp. poeppigii,-76.050003,-5.833333
2759,Lamiopsis tephrodes,,
2760,Lampadia webbiana,,
2761,Lampetra lanceolata,39.8333,40.9167
2762,Lamprologus tumbanus,25.33333,-1.55
2763,Lamprotula contritus,,
2764,Lampsilis higginsii,-91.172352,43.026213
2765,Lampsilis rafinesqueana,-94.4651,37.1801
2766,Laniarius brauni,15.18,-8.28
2767,Lanistes alexandri,37.133333,-6.725124
2768,Lankascincus sripadensis,80.740249,7.066258
2769,Lanthanotus borneensis,114.342785,1.683588
2770,Larinia dasia,,
2771,Lasiochilus contortus,,
2772,Lasiommata meadewaldoi,-7.86,31.2
2773,Laterallus tuerosi,,
2774,Lates macrophthalmus,31.0,2.0
2775,Laticilla cinerascens,94.2,27.23
2776,Laubuka caeruleostigmata,100.25,15.5
2777,Laubuka ruhuna,,
2778,Leiocassis rudicula,116.18166,0.535
2779,Leiocephalus vinculum,-73.0575835096459,18.779898989919932
2780,Leiopotherapon aheneus,117.2,-21.7
2781,Leiorhagium ruali,,
2782,Leiostyla falknerorum,,
2783,Leipaspis pinicola,-16.5438,28.3222
2784,Lentipes watsoni,146.495,-7.7317
2785,Leontopithecus chrysomelas,-98.471854,29.463525
2786,Leontopithecus rosalia,-48.400001,-22.783333
2787,Lepetodrilus nux,127.0833,27.2667
2788,Lepidoblepharis williamsi,-75.333677,6.285346
2789,Lepidocephalichthys jonklaasi,80.314433,6.09815
2790,Lepidocharax diamantina,-41.363333,-12.423889
2791,Lepidochrysops lotana,29.45,-23.9
2792,Lepidodactylus kwasnickae,152.7486,-9.1216
2793,Lepidogalaxias salamandroides,116.140383,-34.735024
2794,Lepidophyma lipetzi,-93.470833,17.054167
2795,Lepidothelphusa cognetti,,
2796,Lepilemur aeeclis,46.092784,-15.715009
2797,Lepilemur betsileo,,
2798,Lepilemur edwardsi,44.9,-18.7333
2799,Lepilemur hubbardorum,44.676732,-22.885163
2800,Lepilemur microdon,48.1333,-21.7667
2801,Lepilemur otto,,
2802,Lepilemur randrianasoloi,44.531757,-18.838253
2803,Lepilemur wrightae,,
2804,Leposoma baturitensis,,
2805,Leposoma puk,,
2806,Leposternon scutigerum,-42.333631,-22.863619
2807,Leptachirus bensbach,141.233,-8.98333
2808,Leptasthenura xenothorax,-72.357864,-13.106857
2809,Leptaxis minor,-25.09853,36.97465
2810,Lepthoplosternum tordilho,,
2811,Leptobrachella applebyi,107.816498,15.0407
2812,Leptobrachella bidoupensis,108.716904,12.1911
2813,Leptobrachella kalonensis,108.215,11.2919
2814,Leptobrachella maculosa,108.7271,12.0152
2815,Leptobrachella melica,,
2816,Leptobrachella pallida,108.694,12.1519
2817,Leptobrachella puhoatensis,104.7373,19.6983
2818,Leptobrachella sabahmontana,116.593715,6.199844
2819,Leptobrachella tengchongensis,,
2820,Leptobrachium buchardi,106.213402,15.0691
2821,Leptobrachium leishanense,,
2822,Leptobrachium rakhinensis,94.67815,17.584183
2823,Leptobrachium tengchongense,98.69604,25.74062
2824,Leptobrachium xanthospilum,108.7,13.06666
2825,Leptodactylodon albiventris,9.746861,4.72
2826,Leptodactylodon bueanus,9.2967,4.1483
2827,Leptodactylodon ornatus,9.95,4.90833
2828,Leptodactylodon stevarti,10.4067,0.621683
2829,Leptogomphus tamdaoensis,,
2830,Leptopelis anebos,28.7829,-3.461
2831,Leptopelis palmatus,10.567,4.033
2832,Leptopelis susanae,37.6667,6.3333
2833,Leptopelis xenodactylus,29.517778,-30.332222
2834,Leptoptilos dubius,-81.360283,27.208534
2835,Leptosiaphos graueri,23.71667,0.8
2836,Leptosiaphos pauliani,9.836,5.058
2837,Lepus flavigularis,0.0,0.0
2838,Lerista ameles,144.567791,-18.115135
2839,Lerista lineata,113.690002,-28.459999
2840,Lestes auripennis,,
2841,Lestoidea lewisiana,145.216,-16.55
2842,Lethrinus mahsena,39.0,20.0
2843,Leucopatus anophthalmus,148.19999,-41.58332
2844,Leucoraja ocellata,-71.964794,41.315437
2845,Leucostethus ramirezi,,
2846,Leucosticte australis,-107.783119,39.534702
2847,Libellago balus,93.9,7.0
2848,Libellula coahuiltecana,,
2849,Lieftinckia lairdi,160.1333,-9.6833
2850,Limbochromis robertsi,-0.516667,6.25
2851,Liminitesta sulcata,15.31,-4.32
2852,Limnonectes ferneri,,
2853,Limnonectes namiyei,128.15083,26.59278
2854,Limoniscus violaceus,1.1126,47.13094
2855,Liobagrus nigricauda,,
2856,Liolaemus fabiani,-68.102092,-23.289312
2857,Liolaemus gravenhorstii,-70.688079,-33.11036
2858,Liolaemus isabelae,,
2859,Liolaemus loboi,-71.164199,-41.130077
2860,Liolaemus manueli,,
2861,Liolaemus poconchilensis,-70.08369,-18.478317
2862,Liolaemus robertoi,-70.595282,-29.36781
2863,Liolaemus scapularis,-65.310486,-26.992269
2864,Liolaemus torresi,-69.570428,-22.112131
2865,Lionneta orophila,,
2866,Lionneta savyi,,
2867,Lionneta silhouettei,,
2868,Liophidium mayottensis,45.12818,-12.83576
2869,Lioscincus steindachneri,164.599934,-20.462282
2870,Lissolepis coventryi,145.6,-37.6
2871,Lithobates lenca,-87.07619,14.022337
2872,Lithobates onca,-115.154747,36.17416
2873,Lithognathus lithognathus,26.50874,-33.8928
2874,Litoria brevipalmata,152.901861,-27.629556
2875,Litoria dayi,145.592773,-17.356799
2876,Litoria raniformis,149.916,-33.533
2877,Liuixalus calcarius,,
2878,Liza luciae,32.416668,-28.383333
2879,Loddigesia mirabilis,-54.106293,-26.619378
2880,Lonchophylla dekeyseri,-37.15,-8.61667
2881,Lonchura oryzivora,115.0636,-8.38345
2882,Lontra felina,-73.599998,-43.916668
2883,Lopholatilus chamaeleonticeps,-71.608333,40.141667
2884,Lophuromys dieterleni,10.53,6.22
2885,Loris tardigradus,80.6,7.25
2886,Louisea balssi,9.392042,4.666686
2887,Loxia megaplaga,-71.748901,18.321899
2888,Loxops coccineus,-155.1447,19.75481
2889,Lucasium occultum,131.981206,-12.668587
2890,Lucifuga gibarensis,,
2891,Lucifuga subterranea,-82.711968,22.788603
2892,Luciobarbus longiceps,35.58,32.79
2893,Luciocyprinus striolatus,,
2894,Lutilodix imitratrix,,
2895,Luzonargiolestes baltazarae,,
2896,Lycalopex fulvipes,-74.116669,-43.349998
2897,Lyciasalamandra antalyana,30.54,36.82
2898,Lyciasalamandra fazilae,28.66,36.78
2899,Lycodon carinatus,80.22628,6.037839
2900,Lycodryas inopinae,49.671386,-13.332149
2901,Lycosa ringens,,
2902,Lygodactylus ornatus,,
2903,Lyhnidia gjorgjevici,,
2904,Lynchius nebulanastes,-79.55,-5.358333
2905,Lynx pardinus,-6.453094,36.993778
2906,Macaca maura,-122.40316073294193,37.787372068635015
2907,Macaca siberu,,
2908,Macaca sinica,80.3,8.6667
2909,Macaca sinica ssp. sinica,80.3,8.6667
2910,Maccullochella ikei,153.466,-28.716
2911,Machala transversa,,
2912,Macrhybopsis tetranema,-97.165883,37.318618
2913,Macrobrachium hirtimanus,55.38167,-21.28457
2914,Macrobrachium minutum,140.5172,-2.6122
2915,Macrobrachium poeti,,
2916,Macromia kubokaiya,,
2917,Macromidia asahinai,,
2918,Macropalaina pomatiaeformis,,
2919,Macropholidus annectens,-79.1783,-3.98972
2920,Macrosphenus pulitzeri,14.364624,-10.822515
2921,Macrovipera schweizeri,24.56813,36.743704
2922,Maculabatis macrura,103.190002,3.47
2923,Madagascarchaea anabohazo,,
2924,Madagascarchaea gracilicollis,46.209093,-15.806146
2925,Madagascarchaea lotzi,,
2926,Madagascarchaea rabesahala,,
2927,Madagasikara madagascarensis,,
2928,Madagasikara vivipara,,
2929,Madanga ruficollis,126.65,-3.4147
2930,Madecassophryne truebae,46.861,-24.4916
2931,Malacolimax wiktori,,
2932,Malacoptila minor,,
2933,Mallomys gunung,,
2934,Mandrillus leucophaeus,8.7167,5.4667
2935,Mandrillus leucophaeus ssp. poensis,8.444107,3.323017
2936,Manis crassicaudata,76.466667,15.31667
2937,Mannophryne collaris,-71.462143,8.716018
2938,Mannophryne molinai,-68.873333,10.322444
2939,Mannophryne riveroi,-61.9333,10.6833
2940,Mannophryne yustizi,,
2941,Manouria impressa,98.486306,18.587834
2942,Mantella cowanii,18.93333,46.93333
2943,Mantella haraldmeieri,46.966666,-24.966666
2944,Mantidactylus albofrenatus,48.53603,-18.92278
2945,Mantidactylus delormei,,
2946,Mantidactylus paidroa,,
2947,Marcusenius caudisquamatus,31.025,-28.425
2948,Marcusenius sp. nov. kosi,,
2949,Margarites ryukyuensis,126.97,27.545
2950,Margaritifera laosensis,102.196,21.7678
2951,Margaritifera marrianae,-87.062072,31.35898
2952,Margarya mansuyi,,
2953,Mariblemma pandani,,
2954,Marmorana nebrodensis,14.0083,37.925
2955,Marmorosphax taom,,
2956,Maroccopsis agadirensis,,
2957,Mastacembelus oatesii,96.915749,20.547672
2958,Matrona japonica,128.193178,26.633515
2959,Mauremys nigricans,104.9375,21.737222
2960,Maxomys wattsi,121.439842,-1.191085
2961,Mecostiboides physalus,,
2962,Meda fulgida,-112.078214,34.863085
2963,Medionidus acutissimus,-85.3022,34.622898
2964,Megadontomys cryophilus,-96.410833,17.600556
2965,Megadontomys thomasi,0.0,0.0
2966,Megalagrion nigrohamatum ssp. nigrolineatum,0.0,0.0
2967,Megalagrion xanthomelas,0.0,0.0
2968,Megalobulimus lopesi,-41.940169,-22.276252
2969,Megalurulus rufus,178.0509,-17.757668
2970,Megaptera novaeangliae Oceania subpopulation,,
2971,Megaselia leptofemur,-28.44899,38.55823
2972,Megophrys brachykolos,114.161291,22.261994
2973,Megophrys fansipanensis,103.7654,22.31387
2974,Megophrys lini,,
2975,Megophrys rubrimera,103.78699,22.38208
2976,Megophrys tuberogranulata,,
2977,Melanobatrachus indicus,77.024907,10.102855
2978,Melanogaster curvistylus,21.937633,44.013048
2979,Melanoides crawshayi,,
2980,Melanoides wagenia,12.13,-4.08
2981,Melanophryniscus devincenzii,-55.613201,-30.858808
2982,Melanopsis etrusca,,
2983,Melanopsis magnifica,,
2984,Melanopsis scalaris,-4.98,34.049999
2985,Melanoseps emmrichi,,
2986,Melanospiza richardsoni,-60.966667,13.883333
2987,Melanostoma wollastoni,,
2988,Melanotaenia arguni,,
2989,Melanotaenia eachamensis,145.616667,-17.283333
2990,Melanotaenia gracilis,126.9,-15.0
2991,Melanotaenia lacustris,,
2992,Melanotaenia manibuii,133.517,-1.93883
2993,Melanotaenia naramasae,,
2994,Melanotaenia sexlineata,141.405,-6.055
2995,Melanotaenia utcheensis,145.883333,-17.566667
2996,Melogale everetti,116.5168,6.0342
2997,Melomys bannisteri,,
2998,Melomys fraterculus,,
2999,Melomys talaudium,,
3000,Mercuria meridionalis,,
3001,Mergus squamatus,111.284722,30.714444
3002,Meridolum corneovirens,150.844493,-33.770092
3003,Merluccius senegalensis,-17.017,20.9
3004,Merodon adriaticus,,
3005,Merodon atricapillatus,,
3006,Merodon confinium,,
3007,Merodon dzhalitae,,
3008,Merodon flavicornis,5.82385,43.20496
3009,Merodon kozufensis,,
3010,Merodon medium,,
3011,Merodon naxius,,
3012,Merodon nitens,,
3013,Merodon quercetorum,-5.75,40.222881
3014,Merodon toscanus,,
3015,Mertensophryne howelli,39.8333,-7.8833
3016,Mesamphiagrion gaudiimontanum,,
3017,Mesamphiagrion santainense,,
3018,Mesiotelus maderianus,,
3019,Mesocnemis tisi,,
3020,Mesoplodon perrini,-117.425,33.2569
3021,Metabolus rugensis,151.82692,7.36517
3022,Metaleptobasis truncata,-52.37,-3.65
3023,Metallura iracunda,-72.97085,10.0696
3024,Metioche bolivari,,
3025,Metrioptera buyssoni,1.47001,42.93348
3026,Mexistenasellus coahuila,-102.083,27.0164
3027,Micralestes eburneensis,1.59073,11.440555
3028,Micrathyria wasscheri,,
3029,Microakodontomys transitorius,,
3030,Microbianor golovatchi,,
3031,Microcebus ganzhorni,,
3032,Microcebus jonahi,49.589516,-16.205116
3033,Microcebus mamiratra,48.304143,-13.403127
3034,Microcebus mittermeieri,49.634263,-14.67529
3035,Microcebus simmonsi,49.197693,-17.931866
3036,Microcystina sp. nov. 'Kien Luong',,
3037,Microgale jenkinsae,43.5233,-22.7783
3038,Microhyla karunaratnei,,
3039,Microhyla zeylanica,80.793719,6.946863
3040,Microkayla chacaltaya,-68.170178,-16.172231
3041,Microkayla kempffi,,
3042,Micronaspis floridana,-83.0417,29.1456
3043,Microphis pleurostictus,,
3044,Microspingus alticola,-78.188324,-6.929153
3045,Microtus oaxacensis,-97.439699,17.587368
3046,Micrurapteryx bistrigella,-31.14051,39.46212
3047,Micrurus meridensis,-71.3861,8.51806
3048,Migmathelphusa olivacea,,
3049,Millepora striata,-80.25897,14.45737
3050,Millerichthys robustus,-96.040587,18.117831
3051,Mimus trifasciatus,-90.5,0.0
3052,Minervarya greenii,79.86667,7.16667
3053,Minervarya nilagirica,76.79591,11.353002
3054,Miniopterus fuscus,124.252185,24.465016
3055,Mirafra sharpii,,
3056,Miriamrothschildia biplagiata,,
3057,Mirza coquereli,44.2667,-22.1167
3058,Mitraceras pulchra,,
3059,Mixcoatlus melanurus,-97.416944,18.486389
3060,Mixophyes iteratus,152.6,-28.3
3061,Mobula birostris,-91.816667,-0.7
3062,Mobula hypostoma,-80.878047,29.070028
3063,Mobula mobular,102.6625,11.558333
3064,Mobula thurstoni,39.0,20.0
3065,Moggridgea rainbowi,136.9,-35.68
3066,Mogurnda kaifayama,,
3067,Mogurnda lineata,,
3068,Mohoua ochrocephala,172.499528,-41.697056
3069,Molossops aequatorianus,,
3070,Monachus monachus,-2.2164,47.14779
3071,Monilesaurus acanthocephalus,77.336508,9.576614
3072,Monolistra racovitzai ssp. conopyge,,
3073,Monopterus fossorius,,
3074,Montastraea faveolata,-87.75,18.5
3075,Montecincla jerdoni,76.08117,11.55617
3076,Montipora dilatata,,
3077,Montivipera albizona,37.08,39.41
3078,Montivipera latifii,52.063357,35.928398
3079,Mordacia praecox,150.083,-35.9
3080,Morenia petersi,93.080002,25.15
3081,Mormyrops oudoti,2.0,13.17
3082,Mortonagrion astamii,,
3083,Morunasaurus groi,-80.129472,8.603806
3084,Moschus anhuiensis,,
3085,Moschus chrysogaster,102.5,30.333334
3086,Moschus fuscus,,
3087,Moxostoma hubbsi,-73.863735,45.385145
3088,Mugilogobius adeia,,
3089,Mugilogobius latifrons,,
3090,Mungotictis decemlineata,44.0967,-20.8567
3091,Murina ryukyuana,,
3092,Mus fernandoni,,
3093,Mustelus griseus,139.67072,35.2045
3094,Mustelus manazo,139.414795,35.069626
3095,Mustelus mustelus,13.766667,45.666667
3096,Mutela joubini,,
3097,Myathropa usta,,
3098,Mycteria cinerea,107.0917,-5.9417
3099,Myersiohyla liliae,-60.2725,6.036944
3100,Myiotheretes pernix,-74.12,11.17
3101,Myonycteris brachycephala,,
3102,Myosorex blarina,29.9719,0.3645
3103,Myosorex gnoskei,33.8083,-10.5769
3104,Myosorex longicaudatus,23.17,-33.95
3105,Myosorex tenuis,,
3106,Myotis findleyi,0.0,0.0
3107,Myotis lucifugus,-68.324271,44.335218
3108,Myotis planiceps,0.0014843956350787046,0.00192741763543675
3109,Myrmecobius fasciatus,117.3425,-34.09333
3110,Mystus ankutta,,
3111,Myxine paucidens,128.526667,31.496667
3112,Naja peroescobari,6.533333,0.033333
3113,Namkungia biryongensis,128.559998,37.389999
3114,Nanger granti ssp. petersii,37.6,0.3333
3115,Nannatherina balstoni,117.9,-35.0
3116,Nannoperca obscura,141.00767,-38.04471
3117,Nannoperca pygmaea,117.5,-34.9
3118,Nannophryne corynetes,-72.533333,-13.033333
3119,Nannophrys naeyakai,81.267027,7.294991
3120,Nannoscincus garrulus,166.150556,-21.743333
3121,Nannoscincus humectus,166.52694,-22.02167
3122,Nannothrissa stewarti,18.27,-2.53
3123,Nanodectes platycercus,136.85,-35.83333
3124,Nanorana medogensis,,
3125,Nanotrachia orientalis,128.6,-16.7
3126,Napaeus doliolum,,
3127,Napaeus nanodes,,
3128,Napothera pasquieri,104.08,21.65
3129,Narentiana vjetrenicae,,
3130,Nasalis larvatus,110.027,-1.09784
3131,Nasolamia velox,-114.866667,31.0
3132,Nasutixalus yingjiangensis,,
3133,Naultinus gemmeus,172.829372,-43.727825
3134,Naultinus rudis,172.828825,-42.526243
3135,Neamblysomus gunningi,29.839639,-23.978628
3136,Nectophrynoides cryptus,37.666667,-7.166667
3137,Nectophrynoides vestergaardi,38.166667,-4.666667
3138,Negaprion acutidens,142.0,-10.0
3139,Nehela vulturina,,
3140,Nelsonia goldmani,-102.333333,19.75
3141,Nemacheilus pantheroides,,
3142,Nemacheilus pulchellus,110.007866,19.726618
3143,Nemachilichthys shimogensis,,
3144,Nemobiopsis jabase,,
3145,Neoascia unifasciata,-113.027,53.407
3146,Neochanna apoda,173.859455,-39.450794
3147,Neochanna diversus,173.057331,-34.750427
3148,Neocordulia caudacuta,,
3149,Neofelis diardi ssp. borneensis,113.893881,-2.322908
3150,Neohylomys hainanensis,,
3151,Neolebias kerguennae,9.334723,0.584722
3152,Neomariania scriptella,-27.06039,38.72039
3153,Neomicroxus latebricola,-78.013963,0.785636
3154,Neomorphus radiolosus,-77.2,2.67
3155,Neophocaena asiaeorientalis,120.261,31.9086
3156,Neopomacentrus aquadulcis,150.699997,-10.26
3157,Neoromicia roseveari,-8.447423,7.572724
3158,Neosiluroides cooperensis,144.235,-23.43
3159,Neostethus thessa,125.520537,9.435295
3160,Neotis ludwigii,23.8,-30.9833
3161,Nephilingis borbonica,55.800419,-21.315229
3162,Neritina coronata,,
3163,Nesobasis caerulescens,178.053178,-17.758454
3164,Nesofregetta fuliginosa,-140.0667,-9.4
3165,Nesolagus timminsi,,
3166,Nesomys lambertoni,44.02426,-18.059884
3167,Nesorohyla kanaima,-58.9,5.366667
3168,Nessia bipes,80.702801,7.587281
3169,Nessia hickanala,,
3170,Nestor meridionalis,177.547698,-38.255882
3171,Newcombia canaliculata,-156.838249,21.14946
3172,Newcombia lirata,,
3173,Newcombia pfeifferi,-156.763056,21.125833
3174,Niceforonia adenobrachia,-75.2882,5.07401
3175,Niceforonia brunnea,-77.6642,0.7025
3176,Nidirana okinavana,124.2,24.4
3177,Nilssonia gangetica,83.16667,21.33333
3178,Nimbapanchax petersi,-4.044167,5.362222
3179,Ninox leventisi,124.71886,9.167856
3180,Ninox spilonotus,122.5,12.3833
3181,Niphargus elegans ssp. zagrebensis,,
3182,Nirodia belphegor,,
3183,Nisaetus philippensis,120.31398,14.803597
3184,Niviventer hinpoon,101.13,14.62
3185,Noblella personina,-78.314833,-2.082287
3186,Nomascus annamensis,,
3187,Nomorhamphus celebensis,,
3188,Nomorhamphus rossi,,
3189,Nososticta pilbara,117.1,-21.6
3190,Nothobranchius albimarginatus,,
3191,Nothobranchius capriviensis,,
3192,Nothobranchius flagrans,,
3193,Nothobranchius hengstleri,40.368233,-10.887033
3194,Nothobranchius interruptus,,
3195,Nothobranchius kwalensis,,
3196,Nothobranchius milvertzi,,
3197,Nothobranchius oestergaardi,29.841233,-8.421667
3198,Nothobranchius rubripinnis,,
3199,Nothobranchius sainthousei,,
3200,Nothobranchius taiti,,
3201,Nothophryne broadleyi,35.504015,-16.025439
3202,Nothophryne ribauensis,38.246187,-14.883554
3203,Notoglanidium akiri,,
3204,Notogomphus maathaiae,,
3205,Notomys aquilo,135.367786,-14.848563
3206,Notophthalmus meridionalis,-89.3489,30.316998999177297
3207,Nototriton barbouri,-87.633333,14.816667
3208,Nototriton lignicola,-86.73,15.1
3209,Nototriton major,,
3210,Notropis boucardi,-99.325363,18.616686
3211,Notropis grandis,-101.789508,19.823897
3212,Notropis simus,-106.718163,34.804586
3213,Noturus gilberti,-80.134084,37.270833
3214,Noturus stanauli,-83.150751,36.530751
3215,Numenius madagascariensis,147.48,-42.93
3216,Nyassachromis boadzulu,35.146416,-14.29589
3217,Nyctibatrachus aliciae,77.084362,8.60706
3218,Nyctibatrachus karnatakaensis,75.415059,13.105802
3219,Nyctibatrachus sanctipalustris,75.96255,13.072439
3220,Nycticebus bengalensis,95.63,27.3951
3221,Nycticebus coucang ssp. insularis,104.2167,2.8
3222,Nycticebus pygmaeus,109.1833,12.25
3223,Nymphargus balionotus,,
3224,Nymphargus caucanus,,
3225,Nymphargus luminosus,,
3226,Nymphargus megacheirus,-77.729068,-0.17174
3227,Nymphargus pluvialis,-72.4,-13.133333
3228,Obovaria subrotunda,-80.871206,39.765631
3229,Ochotona argentata,,
3230,Ochotona iliensis,,
3231,Ochrilidia nuragica,8.45237,39.54211
3232,Octochaetus diememoratio,,
3233,Ocybadistes knightorum,153.083333,-30.333333
3234,Odorrana amamiensis,129.40143,35.52287
3235,Odorrana bolavensis,106.213898,15.0652
3236,Odorrana ishikawae,128.01,26.586
3237,Odorrana splendida,129.397161,28.25759
3238,Odorrana utsunomiyaorum,,
3239,Oecanthus laricis,-80.12167,43.41583
3240,Oedipina fortunensis,-82.219778,8.674389
3241,Oedipina grandis,-82.81302241679606,8.93776769282057
3242,Oedipina kasios,-86.68,15.15
3243,Oedipina motaguae,,
3244,Oedipina poelzi,-83.4333,9.85
3245,Oedipina stenopodia,-91.9,14.93333
3246,Oedipina tzutujilorum,,
3247,Ogilbichthys ferocis,-75.7483,10.19
3248,Ogyris halmaturia,141.81801,-36.38185
3249,Ohridohauffenia rotonda,,
3250,Ohridohoratia carinata,,
3251,Ohrigocea miladinovorum,,
3252,Ohrigocea samuili,,
3253,Okapia johnstoni,22.41,4.09
3254,Oligoclada mortis,,
3255,Oligodon meyerinkii,121.194094,5.979764
3256,Oligosoma chloronoton,168.330049,-46.559974
3257,Oligosoma grande,170.208176,-45.417901
3258,Oligosoma levidensum,,
3259,Oligosoma longipes,173.018338,-42.239539
3260,Oligosoma otagense,170.983,-43.733
3261,Oligosoma stenotis,167.806203,-47.178086
3262,Oligosoma toka,168.986693,-45.080431
3263,Oligosoma whitakeri,175.956556,-36.778974
3264,Ololygon skuki,,
3265,Omocestus navasi,-0.502,42.81
3266,Omocestus uvarovi,13.0167,41.2833
3267,Omphalotropis subsoluta,,
3268,Ompok brevirictus,97.9269,2.31747
3269,Ompok taytayensis,,
3270,Oncorhynchus masou ssp. ishikawae,137.28699,34.92228
3271,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Gates Ck and Channel (early summer)",,
3272,"Oncorhynchus nerka FRASER RIVER, UPPER: Bowron (early summer)",,
3273,Oncorhynchus sp. nov. 'Mayo Trout',,
3274,Oncorhynchus sp. nov. 'Sinaloa Golden Trout',,
3275,Onoreidium howdeni,,
3276,Onychodactylus fuscus,,
3277,Oophaga anchicayensis,-76.714983,3.878207
3278,Oophaga vicentei,-80.710558,9.041778
3279,Ophiogomphus purepecha,-100.65,19.73
3280,Ophisops pushkarensis,74.554495,26.496546
3281,Ophisternon candidum,150.053,-37.357
3282,Opilo orocastaneus,9.06681,42.31298
3283,Opisthostoma simplex,,
3284,Opisthotropis alcalai,123.524,8.3168
3285,Orachrysops mijburghi,29.683333,-29.583333
3286,Orachrysops violescens,30.83,-24.91
3287,Orangia sporadica,,
3288,Orchamus gracilis,,
3289,Orchestina justini,,
3290,Orconectes jeffersoni,-85.7225,38.2542
3291,Orconectes pardalotus,-88.80861,37.18972
3292,Orculella aragonica,-3.36043,37.2079
3293,Oreobates lehri,-71.583333,-13.15
3294,Oreobates pereger,,
3295,Oreochromis amphimelas,35.8333,-3.41667
3296,Oreocnemis phoenix,35.57,-16.0
3297,Oreoglanis siamensis,98.552996,18.542351
3298,Oreolalax multipunctatus,102.954722,29.722222
3299,Oreolalax pingii,102.567122,27.879767
3300,Oreophryne rookmaakeri,120.9833,-8.7833
3301,Oreotragus oreotragus ssp. porteousi,,
3302,Orestias polonorum,-76.16667,-11.16667
3303,Otus moheliensis,43.72917,-12.31583
3304,Otus thilohoffmanni,80.40619,6.994117
3305,Oxylapia polli,48.466667,-19.75
3306,Oxynaia diespiter,,
3307,Oxynoemacheilus anatolicus,,
3308,Oxynoemacheilus hamwii,36.75,35.133333
3309,Oxynoemacheilus paucilepis,,
3310,Oxynotus centrina,-9.1,38.433
3311,Oxyura maccoa,28.292492,-26.188915
3312,Oziothelphusa gallicola,,
3313,Pachliopta jophon,80.5229,6.94782
3314,Pachnodus fregatensis,55.938758,-4.584334
3315,Pachnodus niger,55.433802,-4.649863
3316,Pachycypha aurea,115.133,-1.783
3317,Pachypanchax omalonota,,
3318,Pachypanchax sakaramyi,48.21528,-12.501389
3319,Pachypanchax varatraza,49.836945,-13.520833
3320,Pachytrachis frater,18.7667,42.4
3321,Pachytriton moi,,
3322,Paladilhia gloeeri,4.64221,44.25182
3323,Palaemnema chiriquita,-84.017406,10.213154
3324,Palaemnema orientalis,-62.0012,10.7118
3325,Palaemonetes antrorum,-99.2858,28.2814
3326,Palaemonias alabamae,-86.5861,34.7304
3327,Palaina wilsoni,,
3328,Paludomus ajanensis,,
3329,Palumbia bellierii,,
3330,Pandanobasis mcgregori,,
3331,Pangio alternans,,
3332,Paniegekko madjo,164.6,-20.46667
3333,Panthera leo ssp. persica,70.833328,21.08333
3334,Panthera tigris,-111.815929,40.74976
