taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
56234213,Homonota taragui,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,PHYLLODACTYLIDAE,Homonota,,"Cajade, Etchepare, Falcione, Barrasso &amp; Alvarez, 2013",2016,2014-11-12,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Arzamendia, V., Fitzgerald, L., Giraudo, A., Kacoliris, F., Montero, R., Pelegrin, N., Scrocchi, G. & Williams, J.","Bowles, P.",1-9,10,170.0,140.0,,,,,,
161483,Hongeo koreana,,,,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Hongeo,Korean Skate,"(Jeong &amp; Nakabo, 1997)",2020,2019-08-27,CR,A2cd,Decreasing,True,False,False,"Dulvy, N.K., Dyldin, Y.V., Herman, K., Ishihara, H., Jeong, C.-H., Semba, Y., Tanaka, S., Volvenko, I.V., Walls, R.H.L. & Yamaguchi, A.","Kulka, D.W. & VanderWright, W.J.",,90000,,,30.0,80.0,,,,
172465,Horalabiosa arunachalami,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Horalabiosa,,"Johnson &amp; Soranam, 2001",2020,2010-09-13,CR,"A2ac; B1ab(iii,v)+2ab(iii,v)",Decreasing,False,True,False,"Dahanukar, N. & Raghavan, R.","Krishna , K.K., Ali, A., Cox, N.A. & Abraham, R.",2-5,10,912.0,,,,,,True,"Correction of coded threats: logging and wood harvesting has unintentional effects on the species, rather than the species being intentionally used for this purpose."
155497,Horatia lucidulus,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Horatia,,"Angelov, 1967",2010,2009-11-19,CR,B2ab(iii),Unknown,False,True,False,"Georgiev, D.","Vavrova, L., Abdul Malak, D., Tomovic, J., Fehér, Z. & Seddon, M.B.",4,,,,,,,,,
22692015,Houbaropsis bengalensis,,,,CR,ANIMALIA,CHORDATA,AVES,OTIDIFORMES,OTIDIDAE,Houbaropsis,Bengal Florican,"(Gmelin, 1789)",2018,2018-08-07,CR,A3bcd+4abcd,Decreasing,False,False,True,BirdLife International,"Hermes, C.",,1550000,,0.0,,,,,,
132523146,Hubbsina turneri,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Hubbsina,Highland Splitfin,"(de Buen, 1940)",2019,2018-04-17,CR,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Decreasing,False,True,False,"Koeck, M.","Domínguez, O., Arroyave, J., Contreras MacBeath, T. & Rivas, M.",4-60,4-220,1980.0,1980.0,,,,,,
13151680,Hucho bleekeri,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Hucho,Sichuan Taimen,"Kimura, 1934",2012,2012-06-19,CR,A2cd,Decreasing,False,True,False,"Song, Z.","Rand, P.S. & Weiss, S.",,99,,,,,True,A corrected (errata) assessment has been created for this species to update the 'Movement Pattern' field to 'Full Migrant' following Froese and Pauly (2019).,,
61333,Hucho perryi,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Hucho,Sakhalin Taimen,"(Brevoort, 1856)",2006,2006-01-31,CR,A4abcd,Decreasing,True,True,False,"Rand, P.S.","Augerot, X, Whorisky, F. & Members of the Salmonid Specialist Group (Salmonid Red List Authority)",,,,,,,,,,
10268,Huso dauricus,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Huso,Kaluga,"(Georgi, 1775)",2010,2009-10-24,CR,A2bd,Decreasing,True,True,False,"Ruban, G. & Qiwei, W.","Pourkazemi, M. & Smith, K.",,,,,,,,,,
10269,Huso huso,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Huso,Beluga,"(Linnaeus, 1758)",2010,2009-10-24,CR,A2bcd,Decreasing,True,True,False,"Gesner, J., Chebanov, M. & Freyhof, J.","Pourkazemi, M. & Smith, K.",,,,,,,,,,
181103,Hyalobagrus ornatus,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,BAGRIDAE,Hyalobagrus,,"(Duncker, 1904)",2019,2018-09-01,CR,B2ab(iii),Unknown,False,True,False,"Ng, H.H.","Lim, K.",0-4,,,,,,,,,
157718687,Hyalogyra vitrinelloides,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,ALLOGASTROPODA,HYALOGYRINIDAE,Hyalogyra,,"Warén &amp; Bouchet, 1993",2021,2020-11-23,CR,B1ab(iii)+2ab(iii),Unknown,True,False,False,"Molloy, A. & Thomas, E.A.","Seddon, M.B. & Böhm, M.",4,4,,,1900.0,1900.0,,,,
196219,Hybosida dauban,,,,CR,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,PALPIMANIDAE,Hybosida,,"Platnick, 1979",2014,2012-12-01,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Gerlach, J.","Marusik, Y.",2,5,550.0,450.0,,,,,,
196220,Hybosida lucida,,,,CR,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,PALPIMANIDAE,Hybosida,,"Simon, 1898",2014,2012-12-01,CR,B1ab(iii),Unknown,False,False,True,"Gerlach, J.","Marusik, Y.",20,20,667.0,550.0,,,,,,
103898075,Hybotettix camelus,,,,CR,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETRIGIDAE,Hybotettix,Camelback Royal Pygmy Grasshopper,"Devriese, 1991",2017,2017-01-30,CR,"B1ab(iii,v)",Decreasing,False,False,True,"Danielczak, A., Devriese, H. & Hochkirch, A.","Russell, N.",28,33,,,,,,,,
22698530,Hydrobates macrodactylus,,,,CR,ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,Guadalupe Storm-petrel,"(Bryant, 1887)",2018,2018-08-07,CR,D,Unknown,True,False,True,BirdLife International,"Westrip, J.R.S.",,1,,,,,,,,
20593537,Hydrobia anatolica,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Hydrobia,,"Schütt, 1965",2014,2013-04-25,CR,B1ab(iii)+2ab(iii),Unknown,False,True,False,"Kebapçı, U. & Seddon, M.B.","Numa, C. & Lopes-Lima , M.",4,,,,,,,,,
184696,Hydrobia rheophila,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Hydrobia,,"Bequaert &amp; Clench, 1936",2010,2008-06-03,CR,B1ab(iii),Unknown,False,True,False,"Jørgensen, A.","Van Damme, D. & Seddon, M.B. (Mollusc Red List Authority)",,,,,,,,,,
22698628,Hydrornis gurneyi,,,,CR,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PITTIDAE,Hydrornis,Gurney's Pitta,"(Hume, 1875)",2019,2019-08-22,CR,A3c,Decreasing,False,False,True,BirdLife International,"Smith, D.",,5700,160.0,,,,,,,
10338,Hydrotarsus compunctus,,,,CR,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Hydrotarsus,,"(Wollaston, 1865)",1996,1996-08-01,CR,B1+2c,,False,True,False,"Foster, G.",,,,,,,,,,,
80582503,Hylekobolus andasibensis,,,,CR,ANIMALIA,ARTHROPODA,DIPLOPODA,SPIROBOLIDA,SPIROBOLELIIDAE,Hylekobolus,Andasibe Wood-Millipede,"Wesener, 2009",2017,2015-12-09,CR,B1ab(iii),Unknown,False,False,True,"Rudolf, E. & Wesener, T.","Hochkirch, A. & Mumford, N.",20,24,,,,,,,,
80582657,Hylekobolus latifrons,,,,CR,ANIMALIA,ARTHROPODA,DIPLOPODA,SPIROBOLIDA,SPIROBOLELIIDAE,Hylekobolus,Wide-headed Wood-Millipede,"Wesener, 2009",2017,2015-11-25,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Rudolf, E. & Wesener, T.","Hochkirch, A. & Mumford, N.",8,17,,,,,,,,
55443,Hyloscirtus charazani,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyloscirtus,,"(Vellard, 1970)",2020,2019-09-24,CR,B1ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",,92,3200.0,2400.0,,,,,,
55446,Hyloscirtus chlorosteus,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyloscirtus,Parjacti Treefrog,"(Reynolds &amp; Foster, 1992)",2020,2019-09-25,CR,D,Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",,,2044.0,2044.0,,,,,,
55546,Hyloscirtus lynchi,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyloscirtus,Lynch's Colombian Treefrog,"(Ruíz-Carranza and Ardila-Robayo, 1991)",2017,2016-08-05,CR,"B2ab(iii,iv)",Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",8,106.15,2700.0,1900.0,,,,,,
55587,Hyloscirtus pantostictus,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyloscirtus,Rio Chingual Valley Treefrog,"(Duellman and Berger, 1982)",2018,2016-07-16,CR,B1ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Hobin, L.",,40.54,2700.0,1950.0,,,,,,
55041,Hyloxalus abditaurantius,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,Bello Rocket Frog,"(Silverstone, 1975)",2019,2018-06-28,CR,C2a(i),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Cox, N.A.",,,2110.0,1280.0,,,,,,
55046,Hyloxalus anthracinus,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,South American Rocket Frog,"(Edwards, 1971)",2004,2004-04-30,CR,A2ac,Decreasing,False,True,True,"Luis A. Coloma, Santiago Ron, Taran Grant, Manuel Morales","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,
55071,Hyloxalus delatorreae,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,,"(Coloma, 1995)",2019,2016-07-17,CR,"B1ab(i,iii,iv,v)+2ab(i,iii,iv,v); C2a(i,ii); D",Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Stuart, S.N.",4,16.23,2800.0,2340.0,,,,,,
55074,Hyloxalus edwardsi,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,Edwards' Rocket Frog,"(Lynch, 1982)",2017,2016-08-05,CR,B2ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",8,157.49,3300.0,3030.0,,,,,,
55143,Hyloxalus ruizi,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,Ruiz's Rocket Frog,"(Lynch, 1982)",2017,2016-03-13,CR,"B1ab(iii,v)+2ab(iii,v)",Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",,80.63,2469.0,2410.0,,,,,,
55165,Hyloxalus vertebralis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,Boulenger's Rocket Frog,"(Boulenger, 1899)",2004,2004-04-30,CR,A2ace,Decreasing,False,True,True,"Luis A. Coloma, Santiago Ron, Manuel Morales, Ana Almendáriz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,
79075007,Hynobius amakusaensis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,,"Nishikawa &amp; Matsui, 2014",2021,2020-09-26,CR,"B1ab(iii,v)",Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",,20-286,430.0,410.0,,,,,,
78516799,Hynobius glacialis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,Nanhu Salamander,"Lai &amp; Lue, 2008",2021,2019-06-19,CR,B1ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",,99.63,3536.0,3000.0,,,,,,
61894,Hynobius guabangshanensis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,Guabangshan Hynobiid,"Shen, Deng &amp; Wang, 2004",2021,2020-12-21,CR,"B1ab(iii,v)",Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",,13.34,800.0,400.0,,,,,,
135908,Hynobius maoershanensis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,Maoershan Hynobiid,"Zhou, Jiang &amp; Jiang, 2006",2020,2019-06-20,CR,B1ab(iii)+2ab(iii),Unknown,False,True,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",9.6,9.6,2015.0,1990.0,,,,,,
177958012,Hynobius mikawaensis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,Mikawa Salamander,"Matsui, Misawa, Nishikawa &amp; Shimada, 2017",2021,2020-06-28,CR,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",8,20,700.0,380.0,,,,,,
149668148,Hynobius tosashimizuensis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,,"Sugawara, Watabe, Yoshikawa &amp; Nagano, 2018",2021,2020-09-26,CR,B1ab(iii)+2ab(iii),Stable,False,True,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",4,4,350.0,350.0,,,,,,
161620,Hypanus rudis,,,,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Hypanus,Smalltooth Stingray,"(Günther, 1870)",2021,2020-08-04,CR,A2d,Decreasing,True,False,False,"Jabado, R.W., De Bruyne, G., Derrick, D., Doherty, P., Diop, M., Leurs, G.H.L., Metcalfe, K., Porriños, G., Seidu, I., Tamo, A., VanderWright, W.J. & Williams, A.B.","Moore, A., Sherman, C.S. & Rigby, C.L.",,,,,0.0,30.0,,,,
69119609,Hyperolius davenporti,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Hyperolius,,"Loader, Lawson, Portik &amp; Menegon, 2015",2016,2015-10-02,CR,B1ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Stuart, S.N.",,28,2010.0,2010.0,,,,,,
69119695,Hyperolius ruvuensis,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Hyperolius,,"Barratt, Lawson &amp; Loader, 2015",2016,2014-12-12,CR,B1ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Stuart, S.N.",,10,230.0,230.0,,,,,,
56212,Hyperolius tanneri,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Hyperolius,Tanners' Reed Frog,"Schiøtz, 1982",2015,2014-07-25,CR,B1ab(iii)+2ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Stuart, S.N.",5,56,1920.0,1410.0,,,,,,
135845,Hyperolius watsonae,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Hyperolius,,"Pickersgill, 2007",2020,2016-07-11,CR,B1ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",,8-14,50.0,0.0,,,,,,
10722,Hypomesus transpacificus,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,OSMERIDAE,Hypomesus,Delta Smelt,"McAllister, 1963",2014,2012-02-17,CR,A2bce,Decreasing,False,True,False,NatureServe,"Smith, K. & Darwall, W.R.T.",,,,,,,True,A corrected (errata) assessment has been created for this species to update the 'Movement Pattern' field to 'Full Migrant' following Froese and Pauly (2019).,,
141363430,Hypoplectrus liberte,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Hypoplectrus,Striped Hamlet,"Victor &amp; Marks, 2018",2019,2018-10-09,CR,B1ab(iii),Decreasing,True,False,False,"Robertson, R. & Carpenter, K.E.","Linardich, C.",64,45,,,5.0,15.0,,,,
173832004,Hypostomus yaku,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,LORICARIIDAE,Hypostomus,,"Martins, Langeani &amp; Zawadzki, 2014",2021,2020-12-03,CR,B1ab(iii)+2ab(iii),Unknown,False,True,False,"Lyons, T.J.","Reis, R.",8,8,,,,,,,,
22692441,Hypotaenidia owstoni,,,,CR,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Hypotaenidia,Guam Rail,"Rothschild, 1895",2019,2019-08-12,CR,D,Increasing,False,False,True,BirdLife International,"Hermes, C.",4,4,,,,,,,,
10731,Hypseleotris ejuncida,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Hypseleotris,Slender Carp Gudgeon,"Hoese &amp; Allen, 1982",2019,2019-01-10,CR,B1ab(iii),Unknown,False,True,False,"Morgan, D.L. & Moore, G.","Brown, C.",12,84,290.0,190.0,,,,,,
123321717,Hypseleotris sp. nov. 'bald',,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Hypseleotris,Bald Carp Gudgeon,,2019,2019-02-06,CR,B1ab(iii),Unknown,False,True,False,"Unmack, P. & Pearce, L.","Bice, C., Bruce, A., Gilligan, D., Koehn, J., Lintermans, M., Scott, K. & Tonkin, Z.",12,10-12,630.0,550.0,,,,,,
169654,Hypselobarbus pulchellus,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Hypselobarbus,,"(Day, 1870)",2020,2011-03-17,CR,B1ab(iii)+2ab(iii),Unknown,False,True,False,"Rema Devi, K.R. & Ali, A.","Dahanukar, N., Raghavan, R. & Molur, S.",10,100,,,,,,,True,"Correction of coded threats: logging and wood harvesting has unintentional effects on the species, rather than the species being intentionally used for this purpose."
169617,Hypselobarbus thomassi,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Hypselobarbus,Red Canarese Barb,"(Day, 1874)",2011,2011-03-18,CR,B2ab(iii),Unknown,False,True,False,"Rema Devi, K.R. & Ali, A.","Dahanukar, N., Ali, A. & Molur, S.",10,1000,900.0,300.0,,,True,A corrected (errata) assessment has been created for this species to update the 'Movement Pattern' field to 'Full Migrant' following Froese and Pauly (2019).,,
168177,Hypselostoma elephas,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VERTIGINIDAE,Hypselostoma,,"van Benthem-Jutting, 1950",2009,2007-07-31,CR,"B1ab(ii,iii)+2ab(ii,iii)",Decreasing,False,False,True,"Clements, R.","Schilthuizen, M., Seddon, M.B. & Vermeulen, J.",0.08,0.08,,,,,,,,
103842251,Hypsipetes platenae,,,,CR,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PYCNONOTIDAE,Hypsipetes,Sangihe Golden Bulbul,"(Blasius, 1888)",2018,2018-08-22,CR,"B1ab(ii,iii,v); C2a(i,ii); D",Decreasing,False,False,True,BirdLife International,"Westrip, J.R.S.",12,12,1000.0,,,,,,,
940,Hypsirhynchus ater,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE,Hypsirhynchus,Jamaican Racer,"(Gosse, 1851)",2016,2015-07-21,CR,C2a(i); D,Decreasing,False,False,True,"Hedges, B., Wilson, B.S. & Gibson, R.","Bowles, P.",,13505,1442.0,55.0,,,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,,
190581,Hypsirhynchus melanichnus,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE,Hypsirhynchus,La Vega Racer,"(Cope, 1862)",2016,2015-07-21,CR,B2ab(v),Unknown,False,False,True,"Landestoy, M., Inchaustegui, S., Henderson, R.W. & Hedges, B.","Bowles, P.",,,164.0,119.0,,,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,,
173832069,Hypsolebias faouri,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,RIVULIDAE,Hypsolebias,,"Britzke, Nielsen &amp; Oliveira, 2016",2021,2020-12-31,CR,B1ab(v)+2ab(v),Decreasing,False,True,False,"Lyons, T.J.","Costa, W.J.E.M.",4,4,,,,,,,,
173832222,Hypsolebias hamadryades,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,RIVULIDAE,Hypsolebias,,"Costa, Amorim &amp; Mattos, 2018",2021,2021-01-04,CR,B1ab(iii)+2ab(iii),Unknown,False,True,False,"Lyons, T.J.","Costa, W.J.E.M.",4,4,530.0,530.0,0.0,1.0,,,,
173832350,Hypsolebias shibattai,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,RIVULIDAE,Hypsolebias,,"Nielsen, Martins, Araujo &amp; Suzart, 2014",2021,2021-01-04,CR,B1ab(iii)+2ab(iii),Unknown,False,True,False,"Lyons, T.J.","Costa, W.J.E.M.",4,4,,,0.800000011920929,1.20000004768372,,,,
173832388,Hypsolebias splendissimus,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,RIVULIDAE,Hypsolebias,,"Costa, 2018",2021,2021-01-05,CR,A2c; B1ab(iii)+2ab(iii),Unknown,False,True,False,"Lyons, T.J.","Costa, W.J.E.M.",4,4,505.0,505.0,,,,,,
58609631,Hyridella glenelgensis,,,,CR,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,HYRIIDAE,Hyridella,Glenelg Freshwater Mussel,"(Dennant, 1898)",2014,2014-04-13,CR,"A2abc; B2ab(iii,v)",Decreasing,False,True,False,"Walker, KF, Jones, H. A. & Klunzinger, M","Lopes-Lima , M. & Seddon, M.B.",4,,200.0,0.0,,,,,,
190588,Ialtris parishi,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE,Ialtris,Parish's Fanged Snake,"Cochran, 1932",2016,2015-07-21,CR,B1ab(iii),Unknown,False,False,True,"Henderson, R.W., Inchaustegui, S., Landestoy, M. & Hedges, B.","Bowles, P.",,1410,243.0,13.0,,,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,,
196762,Ibalonius lomani,,,,CR,ANIMALIA,ARTHROPODA,ARACHNIDA,OPILIONES,PODOCTIDAE,Ibalonius,,"Hirst, 1911",2014,2012-12-01,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Gerlach, J.","Harvey, M.",5,5,500.0,450.0,,,,,,
135497,Iberochondrostoma almacai,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Iberochondrostoma,Algarve nase,"(Coelho, Mesquita &amp; Collares-Pereira, 2005)",2008,2008-01-01,CR,"B2ab(i,ii,iii)",Decreasing,False,True,False,"Freyhof, J. & Kottelat, M.","Bogutskaya, N., & Smith, K. (IUCN Freshwater Biodiversity Unit)",,,,,,,,,,
60791,Iberochondrostoma lusitanicum,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Iberochondrostoma,Arched-mouth nase,"(Collares-Pereira, 1980)",2006,2006-01-31,CR,A2ce,Decreasing,False,True,False,"Crivelli, A.J.","Carmona, J. & Elvira, B. (Mediterranean Workshop, Dec. 2004)",,,,,,,,,,
13160676,Iberochondrostoma olisiponensis,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Iberochondrostoma,Lisbon arched-mouth nase,"(Gante, Santos &amp; Alves, 2007)",2012,2010-08-19,CR,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,False,True,False,"Gante, H., Santos, C.D., Alves, M.J. & Rodrigues, J.","Snoeks, J. & Pollock,  C.M.",4,4-10,,,,,,,,
60343,Iberochondrostoma oretanum,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Iberochondrostoma,Jándula nase,"(Doadrio &amp; Carmona, 2003)",2006,2006-01-31,CR,"A2ace; B2ab(ii,iii)",Decreasing,False,True,False,"Carmona, J. & Elvira, B.","Crivelli, A. & Smith, K. (Mediterranean Workshop, Dec. 2004)",,,,,,,,,,
60375,Iberocypris palaciosi,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Iberocypris,Jándula chub,"Doadrio, 1980",2006,2006-01-31,CR,"B1ab(ii,iii)+2ab(ii,iii)",Unknown,False,True,False,"Crivelli, A.J.","Carmona, J. & Darwall, W. (Mediterranean Workshop, Dec. 2004)",,,,,,,,,,
61516,Iberolacerta martinezricai,,,,CR,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Iberolacerta,,"(Arribas, 1996)",2009,2008-12-14,CR,B2ab(v); C2a(ii),Decreasing,False,False,True,"Valentin Pérez-Mellado, Rafael Marquez, Iñigo Martínez-Solano","Cox, N. and Temple, H.J. (Global Reptile Assessment)",,,1723.0,800.0,,,,,,
40095,Ichnusomunda sacchii,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Ichnusomunda,,"Giusti &amp; Manganelli, 1998",2011,2011-03-25,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Falkner, G., Falkner, M. & von Proschwitz, T.","Cuttelod, A., Bilz, M. & Ward, J.",4,4,,,,,,,,
196122,Idioctis intertidalis,,,,CR,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,BARYCHELIDAE,Idioctis,,"(Benoit &amp; Legendre, 1968)",2014,2012-11-01,CR,B2ab(iii),Unknown,False,False,True,"Gerlach, J.","Bond, J. & West, R.C.",3,50000,1.0,0.0,,,,,,
10789,Idiomela subplicata,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Idiomela,,"Sowerby, 1824",2011,2010-08-31,CR,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Seddon, M.B.","Neubert, E., Cameron, R., Groh, K. & Cuttelod, A.",9,42,,,,,,,,
10791,Idiostatus middlekaufi,,,,CR,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Idiostatus,Middlekauf's Shieldback Katydid,"Rentz, 1973",1996,1996-08-01,CR,B1+2bd,,False,False,True,Orthopteroid Specialist Group,,,,,,,,,,,
