taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory
35882,Pouteria polysepala,,,,CR
149305305,Pouteria quicheana,,,,CR
35904,Pouteria subsessilifolia,,,,CR
180254922,Pouteria velutinicarpa,,,,CR
128659557,Pouzolzia mandrarensis,,,,CR
35913,Pradosia argentea,,,,CR
35919,Pradosia decipiens,,,,CR
180255580,Pradosia lahoziana,,,,CR
35928,Pradosia verrucosa,,,,CR
162019336,Praravinia gracilis,,,,CR
162019382,Praravinia neriifolia,,,,CR
44393269,Prasophyllum favonium,,,,CR
128254674,Premna aureolepidota,,,,CR
158385,Premna discolor var. discolor,discolor,var.,,CR
128254695,Premna madagascariensis,,,,CR
39803,Presbytis chrysomelas,,,,CR
136857,Presbytis chrysomelas ssp. chrysomelas,chrysomelas,ssp.,,CR
39804,Presbytis chrysomelas ssp. cruciger,cruciger,ssp.,,CR
39801,Presbytis femoralis,,,,CR
39805,Presbytis percura,,,,CR
39815,Presbytis potenziani,,,,CR
155607,Prespolitorea malaprespensis,,,,CR
155739,Prespolitorea valvataeformis,,,,CR
42856,Prestonia parvifolia,,,,CR
42859,Prestonia schumanniana,,,,CR
164692174,Priapichthys puetzi,,,,CR
195588,Priceconcha tuvuthaensis,,,,CR
163968,Primula boveana,,,,CR
201825,Primulina modesta,,,,CR
168149,Priodiscus spinosus,,,,CR
18151,Prionailurus bengalensis ssp. iriomotensis,iriomotensis,ssp.,,CR
22684986,Prioniturus verticalis,,,,CR
15038481,Prionotropis rhodanica,,,,CR
33500,Prismatomeris andamanica,,,,CR
203152,Pristidactylus casuhatiensis,,,,CR
56402,Pristimantis albericoi,,,,CR
56423,Pristimantis anotis,,,,CR
56459,Pristimantis bernali,,,,CR
56484,Pristimantis cacao,,,,CR
56492,Pristimantis caprifer,,,,CR
56512,Pristimantis chrysops,,,,CR
56526,Pristimantis cosnipatae,,,,CR
56553,Pristimantis deinops,,,,CR
56559,Pristimantis diaphonus,,,,CR
56563,Pristimantis diogenes,,,,CR
56593,Pristimantis euphronides,,,,CR
56646,Pristimantis hamiotae,,,,CR
87736069,Pristimantis hoogmoedi,,,,CR
78543194,Pristimantis imthurni,,,,CR
56680,Pristimantis jaimei,,,,CR
78544860,Pristimantis jamescameroni,,,,CR
61809,Pristimantis kareliae,,,,CR
56692,Pristimantis kelephus,,,,CR
56718,Pristimantis lichenoides,,,,CR
87736123,Pristimantis longicorpus,,,,CR
56745,Pristimantis mars,,,,CR
56772,Pristimantis molybrignus,,,,CR
56856,Pristimantis phragmipleuron,,,,CR
61817,Pristimantis polemistes,,,,CR
56886,Pristimantis pugnax,,,,CR
56903,Pristimantis reclusas,,,,CR
56962,Pristimantis signifer,,,,CR
56974,Pristimantis spilogaster,,,,CR
56978,Pristimantis stenodiscus,,,,CR
61820,Pristimantis telefericus,,,,CR
136009,Pristimantis thyellus,,,,CR
57011,Pristimantis torrenticola,,,,CR
57015,Pristimantis tribulosus,,,,CR
57020,Pristimantis turumiquirensis,,,,CR
57032,Pristimantis veletis,,,,CR
57061,Pristimantis xylochobates,,,,CR
202724,Pristimera biholongii,,,,CR
202725,Pristimera breteleri,,,,CR
18175,Pristis pectinata,,,,CR
43398244,Pristis pectinata Eastern Atlantic subpopulation,,,Eastern Atlantic subpopulation,CR
43398250,Pristis pectinata Western Atlantic subpopulation,,,Western Atlantic subpopulation,CR
18584848,Pristis pristis,,,,CR
43508842,Pristis pristis Eastern Atlantic subpopulation,,,Eastern Atlantic subpopulation,CR
43508949,Pristis pristis Eastern Pacific subpopulation,,,Eastern Pacific subpopulation,CR
43508905,Pristis pristis Indo-West Pacific subpopulation,,,Indo-West Pacific subpopulation,CR
43508845,Pristis pristis Western Atlantic subpopulation,,,Western Atlantic subpopulation,CR
39393,Pristis zijsron,,,,CR
38641,Pritchardia affinis,,,,CR
38642,Pritchardia aylmer-robinsonii,,,,CR
166868720,Pritchardia bakeri,,,,CR
38646,Pritchardia hardyi,,,,CR
38647,Pritchardia kaalae,,,,CR
38741,Pritchardia limahuliensis,,,,CR
38650,Pritchardia munroi,,,,CR
38651,Pritchardia napaliensis,,,,CR
38742,Pritchardia perlmanii,,,,CR
38653,Pritchardia schattaueri,,,,CR
38655,Pritchardia viscosa,,,,CR
38656,Pritchardia waialealeana,,,,CR
166868753,Pritchardia woodii,,,,CR
109480879,Proablepharus barrylyoni,,,,CR
18182,Probarbus jullieni,,,,CR
18192,Procambarus attiguus,,,,CR
153876,Procambarus catemacoensis,,,,CR
18196,Procambarus delicatus,,,,CR
153938,Procambarus machardyi,,,,CR
18205,Procambarus morrisi,,,,CR
153788,Procambarus ortmannii,,,,CR
153897,Procambarus paradoxus,,,,CR
154016,Procambarus regiomontanus,,,,CR
18227,Procambarus rogersi ssp. expletus,expletus,ssp.,,CR
18233,Procaris chacei,,,,CR
57192,Proceratophrys moratoi,,,,CR
126620208,Prockia krusei,,,,CR
137366829,Prockiopsis grandis,,,,CR
137834478,Prockiopsis razakamalalae,,,,CR
199520,Procryptotermes fryeri,,,,CR
18267,Procyon pygmaeus,,,,CR
199542,Procytettix fusiformis,,,,CR
103899231,Procytettix hova,,,,CR
196234,Prodida stella,,,,CR
18271,Prodontria lewisi,,,,CR
9674,Prolemur simus,,,,CR
18360,Propithecus candidus,,,,CR
18355,Propithecus coquereli,,,,CR
18356,Propithecus coronatus,,,,CR
18357,Propithecus deckenii,,,,CR
18358,Propithecus diadema,,,,CR
18361,Propithecus perrieri,,,,CR
18352,Propithecus tattersalli,,,,CR
18354,Propithecus verreauxi,,,,CR
60002,Proplatycnemis pembipes,,,,CR
157773,Propomacrus cypriacus,,,,CR
15968,Prosadenoporus agricola,,,,CR
15418079,Prospero talosii,,,,CR
55072,Prostherapis dunni,,,,CR
177448,Prosymna ornatissima,,,,CR
113210048,Protea holosericea,,,,CR
113210115,Protea inopina,,,,CR
131335262,Protea namaquana,,,,CR
113211106,Protea nubigena,,,,CR
113211471,Protea odorata,,,,CR
185421941,Protea roupelliae subsp. hamiltonii,hamiltonii,subsp.,,CR
135488,Proterorhinus tataricus,,,,CR
149470953,Protium aguilarii,,,,CR
163937,Protosticta gracilis,,,,CR
169304,Protosticta plicata,,,,CR
163892,Protosticta rozendalorum,,,,CR
173721301,Protosticta spinosa,,,,CR
157781173,Provanna lucida,,,,CR
157783266,Provanna segonzaci,,,,CR
38901,Prunus carolinae,,,,CR
38902,Prunus ernestii,,,,CR
50623767,Prunus murrayana,,,,CR
18398,Psammobates geometricus,,,,CR
191541,Psathura sechellarum,,,,CR
200383,Psephellus adjaricus,,,,CR
200379,Psephellus avaricus,,,,CR
200384,Psephellus gracillimus,,,,CR
18428,Psephurus gladius,,,,CR
169211,Pseudagrion mascagnii,,,,CR
83129633,Pseudagrion microcephalum ssp. stainbergerorum,stainbergerorum,ssp.,,CR
184538,Pseudamnicola leprevieri,,,,CR
184498,Pseudamnicola pallaryi,,,,CR
97117836,Pseudanchomenus aptinoides,,,,CR
18457,Pseudemydura umbrina,,,,CR
169980360,Pseudenaria fairmairei,,,,CR
22697531,Pseudibis davisoni,,,,CR
172834,Pseudoacontias menamainty,,,,CR
107649398,Pseudobarbus burchelli,,,,CR
2564,Pseudobarbus erubescens,,,,CR
107662143,Pseudobarbus senticeps,,,,CR
41064,Pseudobatos horkelii,,,,CR
195005,Pseudobithynia euboeensis,,,,CR
171962,Pseudobithynia falniowskii,,,,CR
164823,Pseudobithynia kathrinae,,,,CR
164885,Pseudobithynia panetolis,,,,CR
119450611,Pseudoblothrus oromii,,,,CR
22697896,Pseudobulweria aterrima,,,,CR
22697913,Pseudobulweria becki,,,,CR
22697935,Pseudobulweria macgillivrayi,,,,CR
99941632,Pseudocalotes flavigula,,,,CR
99941794,Pseudocalotes rhaegal,,,,CR
160595,Pseudochazara cingovskii,,,,CR
18492,Pseudocheirus occidentalis,,,,CR
184587,Pseudocleopatra dartevellei,,,,CR
165404,Pseudocleopatra togoensis,,,,CR
68974289,Pseudococcus markharveyi,,,,CR
59365,Pseudoeurycea ahuitzotl,,,,CR
59368,Pseudoeurycea anitae,,,,CR
59369,Pseudoeurycea aquatica,,,,CR
59370,Pseudoeurycea aurantia,,,,CR
59372,Pseudoeurycea brunnata,,,,CR
59381,Pseudoeurycea goebeli,,,,CR
78576297,Pseudoeurycea kuautli,,,,CR
59387,Pseudoeurycea mixcoatl,,,,CR
61909,Pseudoeurycea obesa,,,,CR
59393,Pseudoeurycea robertsi,,,,CR
59395,Pseudoeurycea saltator,,,,CR
59397,Pseudoeurycea smithi,,,,CR
59398,Pseudoeurycea tenchalli,,,,CR
59399,Pseudoeurycea teotepec,,,,CR
59400,Pseudoeurycea tlahcuiloh,,,,CR
59401,Pseudoeurycea unguidentis,,,,CR
184533,Pseudogibbula cara,,,,CR
184722,Pseudogibbula duponti,,,,CR
44617,Pseudoginglymostoma brevicaudatum,,,,CR
33643,Pseudoglochidion anamalayanum,,,,CR
194745722,Pseudohydrosme ebo,,,,CR
135870,Pseudohynobius kuankuoshuiensis,,,,CR
59110,Pseudohynobius puxiongensis,,,,CR
136191,Pseudohynobius shuichengensis,,,,CR
155933,Pseudoislamia balcanica,,,,CR
67368866,Pseudolaureola atlantica,,,,CR
45503,Pseudolmedia manabiensis,,,,CR
163381569,Pseudomisopates rivas-martinezii,,,,CR
18547,Pseudomugil paskai,,,,CR
161077487,Pseudomugil reticulatus,,,,CR
22720753,Pseudonestor xanthophrys,,,,CR
18575,Pseudoniphargus grandimanus,,,,CR
18577,Pseudopalaina polymorpha,,,,CR
58910,Pseudophilautus amboli,,,,CR
79101722,Pseudophilautus bambaradeniyai,,,,CR
79101728,Pseudophilautus dayawansai,,,,CR
58834,Pseudophilautus decoris,,,,CR
79101737,Pseudophilautus jagathgunawardanai,,,,CR
79101750,Pseudophilautus karunarathnai,,,,CR
58866,Pseudophilautus lunatus,,,,CR
58868,Pseudophilautus macropus,,,,CR
61884,Pseudophilautus mooreorum,,,,CR
79101755,Pseudophilautus newtonjayawardanei,,,,CR
58881,Pseudophilautus ocularis,,,,CR
61887,Pseudophilautus poppiae,,,,CR
58890,Pseudophilautus procax,,,,CR
79101771,Pseudophilautus samarakoon,,,,CR
58905,Pseudophilautus simba,,,,CR
79101779,Pseudophilautus sirilwijesundarai,,,,CR
58919,Pseudophilautus stellatus,,,,CR
61889,Pseudophilautus stuarti,,,,CR
195289,Pseudophilotes sinaicus,,,,CR
38659,Pseudophoenix ekmanii,,,,CR
38660,Pseudophoenix lediniana,,,,CR
19449330,Pseudophoxinus atropatenus,,,,CR
19448833,Pseudophoxinus elizavetae,,,,CR
19449267,Pseudophoxinus hasani,,,,CR
61349,Pseudophoxinus maeandricus,,,,CR
19449277,Pseudophoxinus ninae,,,,CR
19449338,Pseudophoxinus sojuchbulagi,,,,CR
61281,Pseudophoxinus syriacus,,,,CR
18582,Pseudophryne corroboree,,,,CR
164661165,Pseudopiptadenia colombiana,,,,CR
18597,Pseudoryx nghetinhensis,,,,CR
62452865,Pseudosaga maraisi,,,,CR
18599,Pseudoscaphirhynchus fedtschenkoi,,,,CR
18600,Pseudoscaphirhynchus hermanni,,,,CR
18601,Pseudoscaphirhynchus kaufmanni,,,,CR
61113,Pseudotropheus cyaneorhabdos,,,,CR
146193416,Pseudoxandra parvifolia,,,,CR
125341177,Pseudoxiphophorus attenuatus,,,,CR
172860,Pseudoxyrhopus ankafinaensis,,,,CR
12798,Pseudunio auricularius,,,,CR
31724,Pseuduvaria taipingensis,,,,CR
39447,Psiadia cataractae,,,,CR
121397826,Psidium hotteanum,,,,CR
30950,Psidium sintenisii,,,,CR
121397863,Psidium trilobum,,,,CR
42757,Psilanthele eggersii,,,,CR
172508,Psilorhynchus tenura,,,,CR
22720734,Psittirostra psittacea,,,,CR
45470702,Psophia obscura,,,,CR
15038064,Psorodonotus ebneri,,,,CR
137552125,Psorospermum cornifolium,,,,CR
137552141,Psorospermum sexlineatum,,,,CR
137789820,Psychotria andapae,,,,CR
149609592,Psychotria aroensis,,,,CR
151864133,Psychotria belepensis,,,,CR
43887,Psychotria bimbiensis,,,,CR
33864,Psychotria bryonicola,,,,CR
142914611,Psychotria butibumensis,,,,CR
143181482,Psychotria chrysanthoides,,,,CR
72763740,Psychotria comptonii,,,,CR
34422,Psychotria danceri,,,,CR
154084770,Psychotria dingalanensis,,,,CR
143182098,Psychotria dipteropodioides,,,,CR
154084929,Psychotria foxworthyi,,,,CR
154086816,Psychotria frakei,,,,CR
30951,Psychotria grandiflora,,,,CR
38971,Psychotria grantii,,,,CR
33878,Psychotria hanoverensis,,,,CR
143185671,Psychotria heterophylla,,,,CR
173153531,Psychotria hexandra var. oahuensis,oahuensis,var.,,CR
154086945,Psychotria hilonghilongensis,,,,CR
33568,Psychotria hobdyi,,,,CR
189072321,Psychotria kajewskii,,,,CR
142673405,Psychotria lolokiensis,,,,CR
143188194,Psychotria longipaniculata,,,,CR
72765281,Psychotria lycioides,,,,CR
154089451,Psychotria magnifolia,,,,CR
121947560,Psychotria marmeladensis,,,,CR
154091575,Psychotria mendozii,,,,CR
154093484,Psychotria merrittii,,,,CR
110075661,Psychotria microthyrsa,,,,CR
46164,Psychotria minimicalyx,,,,CR
43888,Psychotria moliwensis,,,,CR
43893,Psychotria moseskemei,,,,CR
72765532,Psychotria nekouana,,,,CR
72766321,Psychotria pininsularis,,,,CR
154100699,Psychotria quisumbingiana,,,,CR
191543,Psychotria silhouettae,,,,CR
46105,Psychotria sodiroi,,,,CR
154102761,Psychotria sorsogonensis,,,,CR
38974,Psychotria speciosa,,,,CR
143202976,Psychotria streimannii,,,,CR
154103041,Psychotria sulitii,,,,CR
154103101,Psychotria surigaoensis,,,,CR
38975,Psychotria tahitensis,,,,CR
189122011,Psychotria torrenticola,,,,CR
38976,Psychotria trichocalyx,,,,CR
72768382,Psychotria veillonii,,,,CR
146681474,Psychotria volii,,,,CR
114849411,Psychotria wawrae,,,,CR
58356367,Psychotria whistleri,,,,CR
189121145,Psychotria yaoundensis,,,,CR
154103717,Psychotria yenii,,,,CR
57200,Psychrophrynella bagrecito,,,,CR
128645949,Psydrax sambiranensis,,,,CR
136587,Pteralopex flanneryi,,,,CR
18658,Pteralopex pulchra,,,,CR
43924,Pteris adscensionis,,,,CR
78777080,Pteris lidgatei,,,,CR
22678869,Pternistis ochropectus,,,,CR
136529032,Pterocephalus centennii,,,,CR
99752101,Pterocymbium oceanicum,,,,CR
22698097,Pterodroma caribbaea,,,,CR
22698049,Pterodroma magentae,,,,CR
22698020,Pterodroma phaeopygia,,,,CR
45988,Pteromonnina fosbergii,,,,CR
136504,Pteropus aruensis,,,,CR
18728,Pteropus howensis,,,,CR
18732,Pteropus livingstonii,,,,CR
22732350,Pterorhinus courtoisi,,,,CR
113756531,Pterospermum elmeri,,,,CR
113756629,Pterospermum havilandii,,,,CR
32443,Pterospermum kingtungense,,,,CR
32444,Pterospermum menglunense,,,,CR
113756813,Pterospermum parvifolium,,,,CR
32445,Pterospermum yunnanense,,,,CR
174399936,Pterygota augouardii,,,,CR
22691568,Ptilinopus arcanus,,,,CR
22691470,Ptilinopus huttoni,,,,CR
103454421,Ptilostemon greuteri,,,,CR
43922,Ptisana purpurascens,,,,CR
154776538,Ptisana rolandi-principis,,,,CR
166166,Ptychidio jordani,,,,CR
18826,Ptychobranchus jonesi,,,,CR
44510,Ptychochromis insolitus,,,,CR
18832,Ptychochromoides betsileanus,,,,CR
44513,Ptychochromoides itasy,,,,CR
29409,Ptychoglossus danieli,,,,CR
55465,Ptychohyla dendrophasma,,,,CR
189124920,Ptychosperma buabe,,,,CR
189125156,Ptychosperma pullenii,,,,CR
18841,Ptyochromis sp. nov. 'rainbow sheller',,,,CR
18839,Ptyochromis sp. nov. 'Rusinga oral sheller',,,,CR
164534,Puccinellia distans subsp. embergeri,embergeri,subsp.,,CR
164542,Puccinellia distans subsp. fontqueri,fontqueri,subsp.,,CR
18009886,Puccinellia gussonei,,,,CR
44393582,Puccinellia raroflorens,,,,CR
22698235,Puffinus auricularis,,,,CR
45354718,Puffinus bryani,,,,CR
22728432,Puffinus mauretanicus,,,,CR
132468585,Puffinus myrtae,,,,CR
132467692,Puffinus newelli,,,,CR
164503,Pulicaria filaginoides,,,,CR
157786893,Puncturella rimaizenaensis,,,,CR
157786976,Puncturella solis,,,,CR
18875,Pungitius hellenicus,,,,CR
18879,Pungu maclareni,,,,CR
172345,Puntius deccanensis,,,,CR
131342677,Puya boyacana,,,,CR
131365088,Puya brackeana,,,,CR
131342703,Puya cleefii,,,,CR
131342726,Puya dichroa,,,,CR
131342735,Puya furfuracea,,,,CR
131342786,Puya grantii,,,,CR
131365671,Puya hirtzii,,,,CR
131368388,Puya nigrescens,,,,CR
131368394,Puya ramonii,,,,CR
43316,Puya roseana,,,,CR
131342825,Puya santanderensis,,,,CR
131368421,Puya simulans,,,,CR
157990660,Pycnandra belepensis,,,,CR
157990845,Pycnandra bourailensis,,,,CR
157991073,Pycnandra confusa,,,,CR
31110,Pycnandra filipes subsp. multiflora,multiflora,subsp.,,CR
31120,Pycnandra goroensis,,,,CR
158036808,Pycnandra longiflora,,,,CR
158037536,Pycnandra poindimiensis,,,,CR
158039266,Pycnandra versicolor,,,,CR
158039984,Pycnandra viridiflora,,,,CR
137439725,Pycnocoma subflava,,,,CR
22712603,Pycnonotus zeylanicus,,,,CR
178290276,Pycnopodia helianthoides,,,,CR
39827,Pygathrix cinerea,,,,CR
39826,Pygathrix nemaeus,,,,CR
39828,Pygathrix nigripes,,,,CR
152527,Pygmaeocereus bylesianus,,,,CR
110089975,Pyrenacantha grandifolia,,,,CR
18949,Pyrenaearia molae,,,,CR
112185961,Pyrenaria buisanensis,,,,CR
114099749,Pyrenaria cherrapunjeana,,,,CR
62082574,Pyrenaria menglaensis,,,,CR
62148098,Pyrgacris descampsi,,,,CR
55929685,Pyrgacris relictus,,,,CR
155956,Pyrgohydrobia jablanicensis,,,,CR
69673708,Pyrgomorphula serbica,,,,CR
18960,Pyrgulopsis bruneauensis,,,,CR
18966,Pyrgulopsis erythropoma,,,,CR
18977,Pyrgulopsis neomexicana,,,,CR
18988,Pyrgulopsis thermalis,,,,CR
18990,Pyrgulopsis trivialis,,,,CR
189681,Pyrgulopsis ventricosa,,,,CR
157846127,Pyropelta bohlei,,,,CR
195294984,Pyropelta yamato,,,,CR
164112902,Pyrostria revoluta,,,,CR
45422401,Pyrrhura subandina,,,,CR
200411,Pyrus browiczii,,,,CR
200400,Pyrus gergerana,,,,CR
63482,Pyrus korshinskyi,,,,CR
63483,Pyrus tadshikistanica,,,,CR
200409,Pyrus voronovii,,,,CR
19035,Pyxis arachnoides,,,,CR
19036,Pyxis planicauda,,,,CR
19045,Quadrula couchiana,,,,CR
19040,Quadrula fragosa,,,,CR
164915343,Quararibea cacao,,,,CR
170159745,Quararibea lopezperaltae,,,,CR
153335110,Quararibea ruiziana,,,,CR
35960,Quararibea santaritensis,,,,CR
37464,Quararibea yunckeri,,,,CR
191480,Quercus albicaulis,,,,CR
194057,Quercus argyrotricha,,,,CR
138192385,Quercus baniensis,,,,CR
172963337,Quercus baolamensis,,,,CR
191476,Quercus bawanglingensis,,,,CR
172963890,Quercus bidoupensis,,,,CR
138192461,Quercus blaoensis,,,,CR
33635,Quercus boyntonii,,,,CR
138192882,Quercus cambodiensis,,,,CR
138192905,Quercus camusiae,,,,CR
78910765,Quercus dankiaensis,,,,CR
138192931,Quercus dilacerata,,,,CR
78911328,Quercus dinghuensis,,,,CR
138192967,Quercus donnaiensis,,,,CR
194128,Quercus fimbriata,,,,CR
30954,Quercus graciliformis,,,,CR
30955,Quercus hinckleyi,,,,CR
172963749,Quercus honbaensis,,,,CR
78968721,Quercus lungmaiensis,,,,CR
191481,Quercus marlipoensis,,,,CR
138193807,Quercus monnula,,,,CR
78969777,Quercus motuoensis,,,,CR
194203,Quercus mulleri,,,,CR
138193841,Quercus pinbianensis,,,,CR
187940251,Quercus pseudosetulosa,,,,CR
78971369,Quercus pseudoverticillata,,,,CR
138193864,Quercus semiserratoides,,,,CR
191473,Quercus sichourensis,,,,CR
78977167,Quercus thomsoniana,,,,CR
78977721,Quercus tomentosinervis,,,,CR
187940782,Quercus trungkhanhensis,,,,CR
187941243,Quercus xuanlienensis,,,,CR
55908,Quilticohyla acrochorda,,,,CR
125989524,Quintana atrizona,,,,CR
128098122,Radcliffea smithii,,,,CR
19063,Radiocentrum avalonense,,,,CR
19064,Radioconus goeldi,,,,CR
155791,Radomaniola elongata,,,,CR
156032,Radomaniola lacustris,,,,CR
39212,Radula visianica,,,,CR
39621,Rafetus swinhoei,,,,CR
133709,Rafflesia magnifica,,,,CR
70380974,Ramalina portosantana,,,,CR
33659,Ramosmania rodriguesii,,,,CR
58573,Rana chevronta,,,,CR
136089,Rana holtzi,,,,CR
126618087,Randia aciculiflora,,,,CR
126618109,Randia dionisi,,,,CR
126618147,Randia manglaris,,,,CR
126618167,Randia pascualii,,,,CR
126618180,Randia serboi,,,,CR
200414,Ranunculus aragazi,,,,CR
200413,Ranunculus tempskyanus,,,,CR
200412,Ranunculus vermirrhizus,,,,CR
58829,Raorchestes chalazodes,,,,CR
186159,Raorchestes chlorosomma,,,,CR
58849,Raorchestes griet,,,,CR
186163,Raorchestes kaikatti,,,,CR
186165,Raorchestes marki,,,,CR
58914,Raorchestes munnarensis,,,,CR
58916,Raorchestes ponmudi,,,,CR
189814,Raorchestes resplendens,,,,CR
58897,Raorchestes sanctisilvaticus,,,,CR
58902,Raorchestes shillongensis,,,,CR
186166,Raorchestes sushili,,,,CR
32603,Rapanea ceylanica,,,,CR
30504,Rapanea seychellarum,,,,CR
196105,Rasbora armitagei,,,,CR
19316,Rasbora tawarensis,,,,CR
35044,Rauvolfia nukuhivensis,,,,CR
35046,Rauvolfia sachetiae,,,,CR
195949,Ravenea beentjei,,,,CR
195916,Ravenea delicatula,,,,CR
195924,Ravenea hypoleuca,,,,CR
38670,Ravenea lakatra,,,,CR
38671,Ravenea latisecta,,,,CR
38672,Ravenea louvelii,,,,CR
38674,Ravenea moorei,,,,CR
38675,Ravenea musicalis,,,,CR
33850,Ravenia swartziana,,,,CR
137791387,Razafimandimbisonia regalis,,,,CR
126694314,Recchia sessiliflora,,,,CR
148874568,Recordoxylon pulcherrimum,,,,CR
32447,Reevesia rotundifolia,,,,CR
19416,Reithrodontomys spectabilis,,,,CR
80212504,Remya montgomeryi,,,,CR
19426,Renea bourguignatiana,,,,CR
131382867,Reseda balansae,,,,CR
33768,Reynosia jamaicensis,,,,CR
60767,Rhabdalestes leleupi,,,,CR
22682517,Rhabdotorrhinus waldeni,,,,CR
168122,Rhachistia aldabrae,,,,CR
44698104,Rhacocleis trilobata,,,,CR
122900966,Rhacodactylus trachycephalus,,,,CR
59016,Rhacophorus pseudomalabaricus,,,,CR
202422,Rhadinella tolpanorum,,,,CR
54461,Rhaebo atelopoides,,,,CR
54463,Rhaebo olallai,,,,CR
49830172,Rhamdella montana,,,,CR
118044360,Rhamdia guasarensis,,,,CR
19455,Rhamdia reddelli,,,,CR
49829794,Rhamdia xetequepeque,,,,CR
111208559,Rhamnus lojaconoi,,,,CR
111325539,Rhamnus mildbraedii,,,,CR
97844507,Rhamnus taquetii,,,,CR
172524,Rhampholeon acuminatus,,,,CR
61366030,Rhampholeon bruessoworum,,,,CR
172568,Rhampholeon chapmanorum,,,,CR
75976755,Rhampholeon hattinghi,,,,CR
189122805,Rhaphidophora bogneri,,,,CR
110089751,Rhaphiostylis poggei,,,,CR
202819,Rhaptopetalum breteleri,,,,CR
174397917,Rhaptopetalum rabiense,,,,CR
200035703,Rheinardia ocellata,,,,CR
44659,Rheocles derhami,,,,CR
19479,Rheocles lateralis,,,,CR
41848,Rhina ancylostoma,,,,CR
54568,Rhinella amabilis,,,,CR
54486,Rhinella chrysophora,,,,CR
54881,Rhinella rostrata,,,,CR
161320,Rhinobatos albomaculatus,,,,CR
161478,Rhinobatos annandalei,,,,CR
161409,Rhinobatos irvinei,,,,CR
63167,Rhinobatos jimbaranensis,,,,CR
161677,Rhinobatos lionotus,,,,CR
63131,Rhinobatos rhinobatos,,,,CR
104005557,Rhinobatos schlegelii,,,,CR
104007203,Rhinobatos whitei,,,,CR
19495,Rhinoceros sondaicus,,,,CR
19514,Rhinoderma rufum,,,,CR
44781,Rhinolophus hilli,,,,CR
197175,Rhinophis erangaviraji,,,,CR
115604135,Rhinophis goweri,,,,CR
197168,Rhinophis phillipsi,,,,CR
197171,Rhinophis punctatus,,,,CR
115604119,Rhinophis roshanpererai,,,,CR
19594,Rhinopithecus avunculus,,,,CR
13508501,Rhinopithecus strykeri,,,,CR
22682464,Rhinoplax vigil,,,,CR
161463,Rhinoptera marginata,,,,CR
22694103,Rhinoptilus bitorquatus,,,,CR
201467,Rhinotus albifrons,,,,CR
107887429,Rhionaeschna demarmelsi,,,,CR
179722,Rhipidoglossum orientalis,,,,CR
152443,Rhipsalis mesembryanthemoides,,,,CR
152365,Rhipsalis pentaptera,,,,CR
184179,Rhipsalis triangularis,,,,CR
63579,Rhizopsammia wellingtoni,,,,CR
19661,Rhizosomichthys totae,,,,CR
19670,Rhodacmea filosa,,,,CR
143208329,Rhodamnia kamialiensis,,,,CR
40704,Rhodeus ocellatus ssp. smithii,smithii,ssp.,,CR
32370,Rhododendron protistum var. giganteum,giganteum,var.,,CR
31995,Rhododendron wilhelminae,,,,CR
143209078,Rhodomyrtus kaweaensis,,,,CR
143209331,Rhodomyrtus takeuchii,,,,CR
22680344,Rhodonessa caryophyllacea,,,,CR
164868811,Rhodostemonodaphne velutina,,,,CR
200422,Rhodothamnus sessilifolius,,,,CR
49581455,Rhombophryne matavy,,,,CR
168210,Rhombuniopsis tauriformis,,,,CR
41853,Rhynchobatus australiae,,,,CR
60181,Rhynchobatus cooki,,,,CR
39394,Rhynchobatus djiddensis,,,,CR
104019954,Rhynchobatus immaculatus,,,,CR
41854,Rhynchobatus laevis,,,,CR
60180,Rhynchobatus luebberti,,,,CR
60182,Rhynchobatus springeri,,,,CR
130391495,Rhynchorhina mauritaniensis,,,,CR
179270,Rhynchosia braunii,,,,CR
179331,Rhynchosia calobotrya,,,,CR
179363,Rhynchosia holtzii,,,,CR
202768,Rhynchosia ledermannii,,,,CR
115947466,Rhynchospora aripoensis,,,,CR
88511903,Rhynchospora hildebrandtii,,,,CR
19727,Rhysoconcha variumbilicata,,,,CR
19728,Rhytida clarki,,,,CR
19729,Rhytida oconnori,,,,CR
50950556,Riama rhodogaster,,,,CR
36992,Ribes albifolium,,,,CR
63484,Ribes malvifolium,,,,CR
61675,Ribes sardoum,,,,CR
39241,Riccia atlantica,,,,CR
19730,Riekoperla darlingtoni,,,,CR
80703073,Rinodina chrysomelaena,,,,CR
153248970,Rinorea abbreviata,,,,CR
174470719,Rinorea ituriensis,,,,CR
35987,Rinorea maximiliani,,,,CR
80580925,Riotintobolus mandenensis,,,,CR
80580936,Riotintobolus minutus,,,,CR
67527598,Ripersiella mediatlantica,,,,CR
149165101,Riponnensia daccordii,,,,CR
139565471,Risiocnemis laguna,,,,CR
59770,Risiocnemis seidenschwarzi,,,,CR
116127063,Ritchiea afzelii,,,,CR
170159890,Robinsonella glabrifolia,,,,CR
158536719,Robinsonia berteroi,,,,CR
51269353,Rodriguesiophisis spinifera,,,,CR
149673179,Rogiera standleyana,,,,CR
19740,Romanichthys valsanicola,,,,CR
164130,Romulea antiatlantica,,,,CR
13163667,Romulea arnaudii,,,,CR
44319053,Romulea insularis,,,,CR
13164106,Romulea villaretii,,,,CR
16757145,Rondeletia anguillensis,,,,CR
121984718,Rondeletia aurantiaca,,,,CR
180934270,Rondeletia azuensis,,,,CR
