taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory
512,Addax nasomaculatus,,,,CR
132925339,Adelmeria leonardoi,,,,CR
38406,Adelobotrys panamensis,,,,CR
112504528,Adenanthos detmoldii,,,,CR
112504554,Adenanthos dobagii,,,,CR
78772698,Adenophorus periens,,,,CR
522,Adetomyrma venatrix,,,,CR
195276406,Adeuomphalus collinsi,,,,CR
195276867,Adeuomphalus elegans,,,,CR
32924,Adinandra griffithii,,,,CR
169042957,Adinandra loerzingiana,,,,CR
190795018,Adinandra plagiobasis,,,,CR
162024860,Adinandra sadaui,,,,CR
169045094,Adinandra subauriculata,,,,CR
162009230,Adonidia dransfieldii,,,,CR
523,Adrianichthys kruyti,,,,CR
90980527,Adrianichthys roseni,,,,CR
44392746,Aechmea cymosopaniculata,,,,CR
115947008,Aechmea downsiana,,,,CR
56499847,Aegiphila caymanensis,,,,CR
46258,Aegiphila glomerata,,,,CR
164867145,Aegiphila sylvatica,,,,CR
154152451,Aeglopsis mangenotii,,,,CR
22689559,Aegotheles savesi,,,,CR
189533430,Aenigmatinea glatzella,,,,CR
87583105,Aerangis megaphylla,,,,CR
148285428,Aeranthes africana,,,,CR
68501322,Aeranthes albidiflora,,,,CR
68501417,Aeranthes leandriana,,,,CR
68501481,Aeranthes multinodis,,,,CR
122446980,Aeranthes parkesii,,,,CR
63761735,Aerotegmina megaloptera,,,,CR
19892137,Aeschynomene ruspoliana,,,,CR
43106,Aetheolaena hypoleuca,,,,CR
43108,Aetheolaena ledifolia,,,,CR
43112,Aetheolaena pichinchensis,,,,CR
199869,Aethionema grandiflorum var. sintenisii,sintenisii,var.,,CR
61628,Aethionema retsina,,,,CR
60127,Aetomylaeus bovinus,,,,CR
2664,Afghanodon mustersi,,,,CR
59694,Africallagma cuneistigma,,,,CR
594,Afrithelphusa afzelii,,,,CR
592,Afrithelphusa leonensis,,,,CR
196533,Afrogarypus seychellesensis,,,,CR
110075845,Afrothismia amietii,,,,CR
158066,Afrothismia baerae,,,,CR
110096961,Afrothismia foertheriana,,,,CR
110096839,Afrothismia gesnerioides,,,,CR
110096021,Afrothismia korupensis,,,,CR
179900,Afrothismia mhoroana,,,,CR
39539,Afrothismia pachyantha,,,,CR
183090383,Afrothismia pusilla,,,,CR
39540,Afrothismia winkleri,,,,CR
56500529,Agalinis kingsii,,,,CR
55855,Agalychnis lemur,,,,CR
31167,Agasthiyamalaia pauciflora,,,,CR
30978,Agathis montana,,,,CR
114936813,Agave albopilosa,,,,CR
114979576,Agave doctorensis,,,,CR
115623270,Agave fortiflora,,,,CR
115629255,Agave gypsophila,,,,CR
115630978,Agave kavandivi,,,,CR
115645226,Agave kristenii,,,,CR
115645251,Agave lagunae,,,,CR
115646399,Agave montium-sancticaroli,,,,CR
115688925,Agave nickelsiae,,,,CR
115688939,Agave nizandensis,,,,CR
123987320,Agave pax,,,,CR
115689681,Agave pelona,,,,CR
115689845,Agave pintilla,,,,CR
123988131,Agave promontori,,,,CR
115698145,Agave tecta,,,,CR
115698149,Agave temacapulinensis,,,,CR
115698769,Agave valenciana,,,,CR
115699029,Agave wallisii,,,,CR
67367669,Agdistis marionae,,,,CR
116125122,Agelanthus guineensis,,,,CR
179885,Agelanthus rondensis,,,,CR
147519020,Ageratina paramensis,,,,CR
103896223,Agkistropleuron simplex,,,,CR
36611,Aglaia densitricha,,,,CR
36636,Aglaia evansensis,,,,CR
31088,Aglaia gracilis,,,,CR
36626,Aglaia heterotricha,,,,CR
36649,Aglaia integrifolia,,,,CR
36652,Aglaia malabarica,,,,CR
36644,Aglaia pleuropteris,,,,CR
36621,Aglaia rubrivenia,,,,CR
162027256,Aglaia sessilifolia,,,,CR
36623,Aglaia unifolia,,,,CR
39312,Aglaothorax longipennis,,,,CR
126608613,Agonandra goldbergiana,,,,CR
13164466,Agrostis barceloi,,,,CR
32548,Agrostistachys hookeri,,,,CR
188974686,Agrotis cremata,,,,CR
704,Agrotis crinigera,,,,CR
188987541,Agrotis evanescens,,,,CR
705,Agrotis fasciata,,,,CR
706,Agrotis kerri,,,,CR
707,Agrotis laysanensis,,,,CR
188988510,Agrotis microreas,,,,CR
188988592,Agrotis panoplias,,,,CR
708,Agrotis photophila,,,,CR
709,Agrotis procellaris,,,,CR
58079814,Agyneta depigmentata,,,,CR
162278,Aichryson dumosum,,,,CR
61430,Ailuronyx trachygaster,,,,CR
136218,Ailurops melanotis,,,,CR
146634222,Aiouea elegans,,,,CR
146648844,Aiouea floccosa,,,,CR
146649086,Aiouea kruseana,,,,CR
146649121,Aiouea leptophylla,,,,CR
111707147,Aiphanes argos,,,,CR
67530070,Aiphanes pilaris,,,,CR
196322,Akihito futuna,,,,CR
772,Alaena margaritacea,,,,CR
31866,Alangium circulare,,,,CR
143400611,Alangium glabrum,,,,CR
143400818,Alangium ledermannii,,,,CR
776,Alasmidonta raveneliana,,,,CR
22717428,Alauda razae,,,,CR
172511107,Albertisia porcata,,,,CR
171612,Albinaria mavromoustakisi,,,,CR
171775,Albinaria rechingeri,,,,CR
171538,Albinaria retusa,,,,CR
36587,Albizia buntingii,,,,CR
36584,Albizia leonardii,,,,CR
33503,Albizia vaughanii,,,,CR
128099368,Albizia verrucosa,,,,CR
103636653,Albuca nana,,,,CR
135620,Alburnus macedonicus,,,,CR
135598,Alburnus mandrensis,,,,CR
19018610,Alburnus nasreddini,,,,CR
19885345,Alburnus timarensis,,,,CR
135503,Alburnus vistonicus,,,,CR
22726971,Alcedo euryzona,,,,CR
810,Alcelaphus buselaphus ssp. tora,tora,ssp.,,CR
95432735,Alchemilla diademata,,,,CR
39744,Alchemilla fischeri subsp. camerunensis,camerunensis,subsp.,,CR
148593683,Aldina diplogyne,,,,CR
44144,Alectryon macrococcus,,,,CR
33574,Alectryon macrococcus var. auwahiensis,auwahiensis,var.,,CR
34045,Alectryon macrococcus var. macrococcus,macrococcus,var.,,CR
97634472,Aleochara freyi,,,,CR
172732651,Aleurodiscus stratosus,,,,CR
56088,Alexteroon jynx,,,,CR
191250,Algansea barbata,,,,CR
191251,Algansea lacustris,,,,CR
44579133,Alinea lanceolata,,,,CR
68501458,Alistilus magnificus,,,,CR
85750012,Alkanna maleolens,,,,CR
19672436,Allaga ambigua,,,,CR
867,Alligator sinensis,,,,CR
71245143,Allium akirense,,,,CR
199882,Allium baytopiorum,,,,CR
172118,Allium corsicum,,,,CR
199884,Allium czelghauricum,,,,CR
112444938,Allium iatrouinum,,,,CR
13144564,Allium marathasicum,,,,CR
136097,Allobates caribe,,,,CR
55066,Allobates chalcopis,,,,CR
55113,Allobates mcdiarmidi,,,,CR
55141,Allobates ranoides,,,,CR
199886,Allochrusa takhtajanii,,,,CR
180563,Allocnemis maccleeryi,,,,CR
191370,Allodontichthys polylepis,,,,CR
160967283,Allomogurnda flavimarginata,,,,CR
160969193,Allomogurnda multicincta,,,,CR
32752,Allophylus agbala,,,,CR
138013061,Allophylus amplissimus,,,,CR
153504830,Allophylus brevipetiolaris,,,,CR
32608,Allophylus hispidus,,,,CR
153504947,Allophylus leucochrous,,,,CR
153504977,Allophylus lopezii,,,,CR
153506158,Allophylus samarensis,,,,CR
153506537,Allophylus stenophyllus,,,,CR
153506620,Allophylus subincisodentatus,,,,CR
153506669,Allophylus unifoliolatus,,,,CR
191694,Allotoca catarinae,,,,CR
169372,Allotoca diazi,,,,CR
881,Allotoca maculata,,,,CR
191697,Allotoca meeki,,,,CR
191699,Allotoca zacapuensis,,,,CR
80373309,Alluviobolus laticlavius,,,,CR
51205901,Alnus djavanshirii,,,,CR
51205963,Alnus dolichocarpa,,,,CR
194641,Alnus henryi,,,,CR
133705,Alocasia atropurpurea,,,,CR
133707,Alocasia sanderiana,,,,CR
133708,Alocasia sinuata,,,,CR
85998416,Aloe albiflora,,,,CR
85998435,Aloe ambositrae,,,,CR
85999261,Aloe aurelienii,,,,CR
85999299,Aloe beankaensis,,,,CR
85999384,Aloe bellatula,,,,CR
201325,Aloe benishangulana,,,,CR
158325,Aloe boscawenii,,,,CR
201327,Aloe brunneostriata,,,,CR
158195,Aloe classenii,,,,CR
110042179,Aloe decorsei,,,,CR
110713829,Aloe decurva,,,,CR
158335,Aloe dorotheae,,,,CR
110052848,Aloe edouardii,,,,CR
110718648,Aloe fimbrialis,,,,CR
158247,Aloe flexilifolia,,,,CR
110056218,Aloe fragilis,,,,CR
201342,Aloe ghibensis,,,,CR
79062553,Aloe guillaumetii,,,,CR
892,Aloeides rossouwi,,,,CR
161276036,Aloeides stevensoni,,,,CR
201368,Aloe jucunda,,,,CR
102280504,Aloe leandrii,,,,CR
158284,Aloe leptosiphon,,,,CR
110066349,Aloe mandrarensis,,,,CR
138741380,Aloe mangeaensis,,,,CR
201345,Aloe molederana,,,,CR
110760328,Aloe mossurilensis,,,,CR
110067044,Aloe mottramiana,,,,CR
158037,Aloe pembana,,,,CR
110068103,Aloe rugosquamosa,,,,CR
120962747,Aloe rulkensii,,,,CR
110097693,Aloe schilliana,,,,CR
110097731,Aloe socialis,,,,CR
110794545,Aloe virginieae,,,,CR
110808098,Aloe zubb,,,,CR
31016,Aloidendron pillansii,,,,CR
22691030,Alopecoenas erythropterus,,,,CR
44578120,Alopoglossus lehmanni,,,,CR
135582,Alosa killarnensis,,,,CR
61393,Alosa vistonica,,,,CR
39917,Alouatta guariba ssp. guariba,guariba,ssp.,,CR
156411083,Alphandia resinosa,,,,CR
36216,Alphonsea kingii,,,,CR
117263708,Alpinia corneri,,,,CR
171874229,Alseodaphne griffithii,,,,CR
36336,Alseodaphne micrantha,,,,CR
153506794,Alseodaphne ramosii,,,,CR
44073,Alsinidendron lychnoides,,,,CR
44058,Alsinidendron obovatum,,,,CR
44110,Alsinidendron trinerve,,,,CR
44111,Alsinidendron viscosum,,,,CR
76338143,Alsodes cantillanensis,,,,CR
56319,Alsodes pehuenche,,,,CR
939,Alsophis antiguae,,,,CR
190566,Alsophis antillensis,,,,CR
164598,Alsophylax laevis,,,,CR
47755615,Alsophylax tadjikiensis,,,,CR
85750521,Althaea bertramii,,,,CR
54886,Altiphrynoides osgoodi,,,,CR
157032697,Alyxia veillonii,,,,CR
155645,Alzoniella galaica,,,,CR
171938,Alzoniella iberopyrenaica,,,,CR
171958,Alzoniella marianae,,,,CR
155894,Alzoniella onatensis,,,,CR
984,Amanipodagrion gilliesi,,,,CR
45179,Amanoa anomala,,,,CR
985,Amastra cylindrica,,,,CR
986,Amastra micans,,,,CR
987,Amastra rubens,,,,CR
988,Amastra spirizona,,,,CR
119194112,Amazilia alfaroana,,,,CR
22686342,Amazona auropalliata,,,,CR
22686411,Amazona imperialis,,,,CR
22728296,Amazona lilacina,,,,CR
