code,country,presence,origin,distribution_code,taxonid_iucn
ST,Sao Tome and Principe,Extant,Native,Native,103890694
ID,Indonesia,Extant,Native,Native,22714082
SB,Solomon Islands,Extant,Native,Native,22714185
GU,Guam,Extinct Post-1500,Native,Regionally Extinct,22714043
MP,Northern Mariana Islands,Extant,Native,Native,22714043
KE,Kenya,Extant,Native,Native,22713957
PH,Philippines,Extant,Native,Native,22716237
ZW,Zimbabwe,Extant,Native,Native,196970
MX,Mexico,Extant,Native,Native,23323
