code,habitat,suitability,season,majorimportance,taxonid_iucn
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,41226
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,41226
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,79934933
1.8,Forest - Subtropical/Tropical Swamp,Suitable,Resident,Yes,79934933
1.5,Forest - Subtropical/Tropical Dry,Marginal,Resident,,816
1.6,Forest - Subtropical/Tropical Moist Lowland,Marginal,Resident,,816
2.1,Savanna - Dry,Suitable,Resident,,816
2.2,Savanna - Moist,Suitable,Resident,,816
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,,816
4.5,Grassland - Subtropical/Tropical Dry,Suitable,Resident,,816
2.1,Savanna - Dry,Suitable,Resident,,809
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,,809
4.5,Grassland - Subtropical/Tropical Dry,Suitable,Resident,,809
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,,60452
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,182708
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,,,182708
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,,182881
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,169424
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,191247
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,191248
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,191249
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,191253
1.4,Forest - Temperate,Suitable,,,840
