code,habitat,suitability,season,majorimportance,taxonid_iucn
13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,,,41032
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Marginal,,,41032
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,,41032
5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),Suitable,,,41032
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,,41032
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,,41032
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,14969
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,14969
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,14969
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,12148
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,12148
13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,,,12152
13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,,,12152
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,,,12152
15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),Suitable,,,12152
15.2,Artificial/Aquatic - Ponds (below 8ha),Suitable,,,12152
15.3,Artificial/Aquatic - Aquaculture Ponds,Suitable,,,12152
15.5,Artificial/Aquatic - Excavations (open),Suitable,,,12152
15.6,Artificial/Aquatic - Wastewater Treatment Areas,Suitable,,,12152
15.7,Artificial/Aquatic - Irrigated Land (includes irrigation channels),Suitable,,,12152
4.4,Grassland - Temperate,Suitable,,,12152
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,,,12152
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,,12152
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,,12152
5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),Suitable,,,12152
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,,12152
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,12153
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,12153
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,12153
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,73727511
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,,73727511
5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Suitable,Resident,Yes,73727511
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,73727511
14.3,Artificial/Terrestrial - Plantations,Marginal,Resident,,58794
15.2,Artificial/Aquatic - Ponds (below 8ha),Suitable,Resident,,58794
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,58794
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,58794
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,Resident,Yes,58794
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,Resident,Yes,58794
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,58794
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,58794
9.8,Marine Neritic - Coral Reef,,,,133226
9.8.2,Back Slope,Suitable,,,133226
9.8.3,Foreslope (Outer Reef Slope),Suitable,,,133226
9.8.4,Lagoon,Suitable,,,133226
14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Suitable,Resident,Yes,22688130
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,22688130
3.7,Shrubland - Subtropical/Tropical High Altitude,Suitable,Resident,Yes,22688130
1.5,Forest - Subtropical/Tropical Dry,Suitable,,,12263
