code,habitat,suitability,season,majorimportance,taxonid_iucn
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,61802
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,143828186
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56498
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56498
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56513
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56513
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56513
14.3,Artificial/Terrestrial - Plantations,Marginal,Resident,,56516
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56516
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56516
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56537
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,Resident,Yes,56537
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56577
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56577
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56582
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56582
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56582
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56588
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56588
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,50922873
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,50922873
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,50922873
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56598
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56598
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56598
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56603
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56603
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56641
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,56665
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Marginal,Resident,,56665
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,,56761
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,,56761
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56765
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56765
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,61803
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56799
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56799
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56799
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56807
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56853
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56853
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56876
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56876
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,Resident,Yes,56876
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56888
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56888
1.5,Forest - Subtropical/Tropical Dry,Suitable,Resident,Yes,56901
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,56901
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56901
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56913
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56913
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56942
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56976
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,56976
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,61804
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,61804
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,56996
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,57013
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,57013
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Marginal,Resident,,57013
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,22678525
1.5,Forest - Subtropical/Tropical Dry,Marginal,Resident,,45092131
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,45092131
1.5,Forest - Subtropical/Tropical Dry,Suitable,,Yes,5514
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,,Yes,5514
6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,,,5514
14.1,Artificial/Terrestrial - Arable Land,Suitable,,,5529
14.2,Artificial/Terrestrial - Pastureland,Marginal,,,5529
14.4,Artificial/Terrestrial - Rural Gardens,Marginal,,,5529
14.5,Artificial/Terrestrial - Urban Areas,Marginal,,,5529
3.4,Shrubland - Temperate,Suitable,,,5529
4.4,Grassland - Temperate,Suitable,,,5529
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,22720310
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,22720310
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,5595
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,5633
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,Yes,5604
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,5610
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,136379
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,,5587
1.8,Forest - Subtropical/Tropical Swamp,Suitable,,,5587
1.5,Forest - Subtropical/Tropical Dry,Marginal,Passage,,5661
1.6,Forest - Subtropical/Tropical Moist Lowland,Marginal,Passage,,5661
2.1,Savanna - Dry,Suitable,Resident,Yes,5661
2.2,Savanna - Moist,Suitable,Resident,Yes,5661
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,5661
5.3,Wetlands (inland) - Shrub Dominated Wetlands,Suitable,Resident,Yes,5661
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,5672
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Marginal,,,5672
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,Yes,5672
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes,5672
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,Yes,5670
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes,5670
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,,Yes,5670
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,5671
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,,5671
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,,5671
5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),Marginal,,,5671
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Unknown,,,5671
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,,188988
6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,,,64314
8.1,Desert - Hot,Suitable,,,64314
14.1,Artificial/Terrestrial - Arable Land,Suitable,Resident,,59649
14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Unknown,Resident,,59649
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,,59649
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,198184
5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Suitable,,Yes,198218
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Suitable,Resident,Yes,5711
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,Yes,170837
3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Suitable,,,177778
13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,Resident,Yes,109452875
13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,Resident,Yes,109452875
14.5,Artificial/Terrestrial - Urban Areas,Marginal,Resident,,5748
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,Resident,Yes,5748
1.4,Forest - Temperate,Suitable,Resident,Yes,97169951
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,163631
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,163631
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,103897388
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,Yes,136389
4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,,Yes,136389
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,54360
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,78459186
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,190988
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,89183465
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,89183450
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,202435
3.4,Shrubland - Temperate,Suitable,Resident,Yes,68286189
3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Suitable,Resident,Yes,68286189
4.7,Grassland - Subtropical/Tropical High Altitude,Suitable,,,136390
17,Other,Suitable,,,136633
4.4,Grassland - Temperate,Suitable,,,136633
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,136633
2.1,Savanna - Dry,Suitable,,,5826
5.3,Wetlands (inland) - Shrub Dominated Wetlands,Suitable,,,5826
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,,5826
12.1,Marine Intertidal - Rocky Shoreline,Marginal,,,44181
12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Suitable,Breeding Season,Yes,44181
