code,habitat,suitability,season,majorimportance,taxonid_iucn
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,103890694
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,103890694
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,No,22714082
1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,Suitable,Resident,No,22714082
3.6,Shrubland - Subtropical/Tropical Moist,Suitable,Resident,No,22714082
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,No,22714185
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Breeding Season,Yes,22714185
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,No,22714043
14.4,Artificial/Terrestrial - Rural Gardens,Suitable,Resident,No,22714043
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,22714043
3.6,Shrubland - Subtropical/Tropical Moist,Suitable,Resident,No,22714043
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,22713957
14.3,Artificial/Terrestrial - Plantations,Suitable,Resident,No,22716237
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,22716237
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,196970
1.4,Forest - Temperate,Suitable,,,23323
