code,habitat,suitability,season,majorimportance,taxonid_iucn
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,3
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,198783
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,198784
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,198785
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,198786
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,198787
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,6
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,7
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,,Yes,8
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,9
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,125160424
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,125160424
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,125160424
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,18
6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,,,18
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,,203014
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,,Yes,29479
3.6,Shrubland - Subtropical/Tropical Moist,Suitable,Seasonal Occurrence Unknown,,118245249
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,60633
15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),,,,203404
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,203404
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Unknown,,,203404
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Unknown,,,203404
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,,,203404
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,Resident,Yes,19017787
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,Resident,Yes,19017787
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Suitable,Resident,Yes,19017787
5.9,Wetlands (inland) - Freshwater Springs and Oases,Suitable,Resident,Yes,19017787
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,,,61454
6,"Rocky areas (eg. inland cliffs, mountain peaks)",Suitable,,,164562
13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,,,61459
3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Suitable,,,61459
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,,,61459
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Suitable,,,61459
3.5,Shrubland - Subtropical/Tropical Dry,Suitable,,,61463
8.1,Desert - Hot,Suitable,,,61463
1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes,19674914
1.9,Forest - Subtropical/Tropical Moist Montane,Unknown,,,176325
11.6,Marine Deep Benthic - Deep Sea Vents (Rifts/Seeps),Suitable,Resident,Yes,157702758
15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),Marginal,,,212
15.2,Artificial/Aquatic - Ponds (below 8ha),Marginal,,,212
15.3,Artificial/Aquatic - Aquaculture Ponds,Unknown,,,212
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Marginal,,,212
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Unknown,,,212
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,Yes,212
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Unknown,,,212
5.9,Wetlands (inland) - Freshwater Springs and Oases,Unknown,,,212
3.4,Shrubland - Temperate,Suitable,Resident,Yes,20638495
1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,Resident,Yes,20638574
15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),Marginal,,,231
15.2,Artificial/Aquatic - Ponds (below 8ha),Marginal,,,231
15.3,Artificial/Aquatic - Aquaculture Ponds,Marginal,,,231
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,231
9.10,Marine Neritic - Estuaries,Suitable,,,231
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,232
9.10,Marine Neritic - Estuaries,Suitable,,,232
9.4,Marine Neritic - Subtidal Sandy,Suitable,,,232
9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,,,232
9.6,Marine Neritic - Subtidal Muddy,Suitable,,,232
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,241
9.10,Marine Neritic - Estuaries,Suitable,,,241
9.4,Marine Neritic - Subtidal Sandy,Suitable,,,241
9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,,,241
9.6,Marine Neritic - Subtidal Muddy,Suitable,,,241
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,,224
9.10,Marine Neritic - Estuaries,Suitable,,,224
9.4,Marine Neritic - Subtidal Sandy,Marginal,,,224
9.5,Marine Neritic - Subtidal Sandy-Mud,Marginal,,,224
9.6,Marine Neritic - Subtidal Muddy,Marginal,,,224
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,225
9.10,Marine Neritic - Estuaries,Suitable,,,225
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,235
9.10,Marine Neritic - Estuaries,Suitable,,,235
9.4,Marine Neritic - Subtidal Sandy,Suitable,,,235
9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,,,235
9.6,Marine Neritic - Subtidal Muddy,Suitable,,,235
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,,Yes,228
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,,,228
9.10,Marine Neritic - Estuaries,Unknown,,,228
15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),Marginal,,,236
