taxonid_iucn,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
155527,Heleobia foxianensis,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,COCHLIOPIDAE,Heleobia,,"(De Stefani, 1884)",2010,2009-05-21,EN,B2ab(iii),Decreasing,False,True,False,"Cianfanelli, S., Bodon, M., Giusti, F. & Manganelli, G.","Aldridge, D., Seddon, M.B., von Proschwitz, T. & Cuttelod, A.",12,,,,,,,,,
9772,Heleophryne hewitti,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HELEOPHRYNIDAE,Heleophryne,Hewitt’s Ghost Frog,"Boycott, 1988",2017,2016-08-02,EN,B1ab(iii)+2ab(iii),Unknown,False,True,True,IUCN SSC Amphibian Specialist Group & South African Frog Re-assessment Group (SA-FRoG),"Luedtke, J.",140.57,337.83,930,400,,,,,,
22687901,Heliangelus regalis,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Heliangelus,Royal Sunangel,"Fitzpatrick, Willard & Terborgh, 1979",2016,2016-10-01,EN,"A3c; B1ab(i,ii,iii,v)",Decreasing,False,False,True,BirdLife International,"Butchart, S.H.M. & Symes, A.",,46800,2200,550,,,,,,
200203,Helianthemum dagestanicum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,CISTACEAE,Helianthemum,Dagestanian Sun Rose,Rupr.,2014,2007-07-20,EN,"B1ab(iii,v)+2ab(iii,v)",Decreasing,False,False,True,"Murtazaliev, R.","Batsatsashvili, K.",300,600-700,1500,500,,,,,,
107426669,Helianthemum gorgoneum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,CISTACEAE,Helianthemum,,Webb,2017,2014-05-20,EN,"B1ab(ii,iv)+2ab(ii,iv)",Unknown,False,False,True,"Catarino, S., Duarte, M.C. & Romeiras, M.M.","Hilton-Taylor, C. & Martínez Richart, A.I.",43,491,1500,0,,,,,,
61680,Helianthemum guerrae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,CISTACEAE,Helianthemum,,"Sánchez-Gómez, J.S.Carrión &amp; M.Á.Carrión",2006,2006-01-31,EN,"B1ab(iii,v)+2ab(iii,v)",Decreasing,False,False,True,"Güemes, J., Francisco Jiménez, J., Sánchez-Gómez, P. & Carrión Vilches, M.Á.","Strahm, W. & de Montmollin, B. (Mediterranean Island Plants Red List Authority)",,,,,,,,,,
9796,Helicella stiparum,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Helicella,,"Rossmässler, 1854",2011,2010-08-17,EN,B1ab(iii),Decreasing,False,False,True,"Arrébola, J.","Martínez-Ortí, A., Gómez Moliner, B.J., Lutz, M.L., Neubert, E. & Cuttelod, A.",700,700,100,0,,,,,,
103647171,Helichrysum brunioides,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,Moeser,2019,2016-09-14,EN,B2ab(iii),Unknown,False,False,True,"Ntore, S., Beentje, H.J., Fischer, E., Kabuye, C., Kalema, J., Kayombo, C., Luke, W.R.Q. & Nshutiyayesu, S.","Gereau, R.E.",108,5080,3300,2300,,,,,,
103647180,Helichrysum brunioides subsp. brunioides,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,,2019,2016-09-14,EN,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Ntore, S., Beentje, H.J., Fischer, E., Kabuye, C., Kalema, J., Kayombo, C., Luke, W.R.Q. & Nshutiyayesu, S.","Gereau, R.E.",90,4558,3300,2300,,,,,,
88502118,Helichrysum dubardii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,R.Vig. &amp; Humbert,2017,2016-06-28,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,False,True,True,"Rabarimanarivo, M. & Ravololomanana, N.","Manjato, N.",27,2502.89,1600,850,,,,,,
88502198,Helichrysum filaginoides,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,(DC.) Humbert,2017,2016-06-28,EN,"B2ab(ii,iii,iv,v)",Decreasing,False,True,True,"Rabarimanarivo, M. & Ravololomanana, N.","Manjato, N.",18,,2000,1500,,,,,,
162097,Helichrysum monogynum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,Yesquera Roja,B.L.Burtt &amp; Sunding,2011,2011-03-10,EN,B2ab(iii),Unknown,False,False,True,"Santana-López, M.I. & Naranjo Suárez, J.","Bilz, M. & Peraza Zurita, M.D.",3.5-8,,575,40,,,,,,
103647200,Helichrysum ruandense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,Lisowski,2019,2016-09-12,EN,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Luke, W.R.Q., Beentje, H.J., Fischer, E., Kabuye, C., Kalema, J., Kayombo, C., Nshutiyayesu, S. & Ntore, S.","Gereau, R.E.",45,4986,1700,1700,,,,,,
44840,Helichrysum sp. nov. C,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,"(Miller 16128, E)",2004,2004-04-30,EN,B2ab(iii),Unknown,False,False,True,"Miller, A.","Abuzinada, A.H. & AL-Eisawi, D.M.H. (Arabian Plants Red List Authority)",,,,,,,,,,
44841,Helichrysum sp. nov. D,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,"(Miller 20020, E)",2004,2004-04-30,EN,B2ab(iii),Unknown,False,False,True,"Miller, A.","Abuzinada, A.H. & AL-Eisawi, D.M.H. (Arabian Plants Red List Authority)",,,,,,,,,,
88502425,Helichrysum tanacetiflorum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Helichrysum,,Baker,2017,2016-06-29,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,False,True,True,"Rabarimanarivo, M. & Ravololomanana, N.","Manjato, N.",10.1679,10.1679,2000,1600,,,,,,
113133404,Helicia clivicola,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Helicia,,W.W.Sm.,2020,2018-12-11,EN,B1ab(iii),Decreasing,False,False,True,"Martínez Richart, A.I.","Hilton-Taylor, C.",,2794.243,2000,1000,,,,,,
38143,Helicia insularis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Helicia,,D.Foreman,1998,1998-01-01,EN,B1+2abcde,,False,False,True,"Eddowes, P.J.",,,,,,,,,,,
32409,Helicia shweliensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Helicia,,W.Smith,2020,2018-12-12,EN,B2ab(iii),Decreasing,False,False,True,"Martínez Richart, A.I.","Hilton-Taylor, C.",16-490,11512.207,2800,300,,,,,,
