taxonid_iucn,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
37417,Zygogynum tanyostigma,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CANELLALES,WINTERACEAE,Zygogynum,,Vink,2021,2018-05-28,EN,"B1ab(iii,v)+2ab(iii,v)",Decreasing,False,False,True,"Amice, R., Bruy, D., Butin, J.-P., Cazé, H., Dumontet, V., Fleurot, D., Gâteblé, G., Haverkamp, C., Hequet, V., Lagrange, A., Laudereau, C., Tiavouane, J., Tron, F. & Veillon, J.-M.","Lannuzel, G.",12,12,1615,1350,,,,,,
43735,Zygophlebia eminens,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,POLYPODIACEAE,Zygophlebia,,(C.V.Morton) L.E.Bishop,2003,2003-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Navarrete, H. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S., Jørgensen, P.M. (Ecuador Plants Red List Authority) & Jermy, C., Ranker, T. (Pteridophyte Red List Authority)",,,,,,,,,,
179764,Zygophlebia major,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,POLYPODIACEAE,Zygophlebia,,(Reimers) Parris,2013,2013-03-23,EN,B1ab(iii)+2ab(iii),Unknown,False,False,True,IUCN SSC East African Plants Red List Authority,"Hilton-Taylor, C. & Scott, J.A.",29.9,83.8,2350,1650,,,,,,
147862991,Zygotritonia benishangulana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,IRIDACEAE,Zygotritonia,,Goldblatt &amp; Sebsebe,2021,2020-11-17,EN,B1ab(iii)+2ab(iii),Unknown,False,False,True,"Darbyshire, I., Sileshi Nemomissa, Sebsebe Demissew, Ermias Lulekal, Melaku Wondafrash, Lidet Mehari, Birhanu Belay, Wege Abebe, Debela Daba, Tesfanesh Feseha, Bezawit Genanaw, Shewangziwe Lemma, Hanny Lidetu, Efrata Mekbib, Befkadu Mewded & Samson Shimelse","Beentje, H.J.",20,439,1650,1440,,,,,,
