year,assess_year,code,category,taxonid_iucn
2016,2016,CR,Critically Endangered,18267
2008,2008,CR,Critically Endangered,18267
1996,1996,EN,Endangered,18267
1994,1994,K,Insufficiently Known,18267
1990,1990,K,Insufficiently Known,18267
1988,1988,K,Insufficiently Known,18267
2012,2007,CR,Critically Endangered,199542
2017,2017,CR,Critically Endangered,103899231
2014,2012,CR,Critically Endangered,196234
1996,1996,CR,Critically Endangered,18271
1994,1994,V,Vulnerable,18271
1990,1990,V,Vulnerable,18271
1988,1988,V,Vulnerable,18271
1986,1986,V,Vulnerable,18271
2020,2018,CR,Critically Endangered,9674
2014,2012,CR,Critically Endangered,9674
2008,2008,CR,Critically Endangered,9674
2000,2000,CR,Critically Endangered,9674
1996,1996,CR,Critically Endangered,9674
1994,1994,E,Endangered,9674
1990,1990,E,Endangered,9674
1988,1988,E,Endangered,9674
1986,1986,E,Endangered,9674
1965,1965,,"""Status inadequately known-survey required or data sought""",9674
2020,2019,CR,Critically Endangered,18360
2014,2012,CR,Critically Endangered,18360
2008,2008,CR,Critically Endangered,18360
2000,2000,CR,Critically Endangered,18360
1996,1996,CR,Critically Endangered,18360
1990,1990,E,Endangered,18360
2020,2018,CR,Critically Endangered,18355
2014,2012,EN,Endangered,18355
2008,2008,EN,Endangered,18355
2000,2000,EN,Endangered,18355
1996,1996,EN,Endangered,18355
1990,1990,V,Vulnerable,18355
1965,1965,,"""Status inadequately known-survey required or data sought""",18355
2020,2018,CR,Critically Endangered,18356
2014,2012,EN,Endangered,18356
2008,2008,EN,Endangered,18356
2000,2000,CR,Critically Endangered,18356
1996,1996,CR,Critically Endangered,18356
1965,1965,,"""Status inadequately known-survey required or data sought""",18356
2020,2017,CR,Critically Endangered,18357
2014,2012,EN,Endangered,18357
2008,2008,VU,Vulnerable,18357
2000,2000,VU,Vulnerable,18357
1996,1996,VU,Vulnerable,18357
1990,1990,V,Vulnerable,18357
1965,1965,,"""Status inadequately known-survey required or data sought""",18357
2020,2018,CR,Critically Endangered,18358
2014,2012,CR,Critically Endangered,18358
2008,2008,EN,Endangered,18358
2000,2000,CR,Critically Endangered,18358
1996,1996,EN,Endangered,18358
1990,1990,E,Endangered,18358
2020,2018,CR,Critically Endangered,18361
2014,2012,CR,Critically Endangered,18361
2008,2008,CR,Critically Endangered,18361
2000,2000,CR,Critically Endangered,18361
1996,1996,CR,Critically Endangered,18361
1990,1990,E,Endangered,18361
2020,2019,CR,Critically Endangered,18352
2014,2012,CR,Critically Endangered,18352
2008,2008,EN,Endangered,18352
2000,2000,CR,Critically Endangered,18352
1996,1996,CR,Critically Endangered,18352
1994,1994,E,Endangered,18352
1990,1990,E,Endangered,18352
2020,2018,CR,Critically Endangered,18354
2014,2012,EN,Endangered,18354
2008,2008,VU,Vulnerable,18354
2000,2000,VU,Vulnerable,18354
1996,1996,VU,Vulnerable,18354
1990,1990,V,Vulnerable,18354
1965,1965,,"""Status inadequately known-survey required or data sought""",18354
2007,2007,CR,Critically Endangered,60002
2017,2015,CR,Critically Endangered,157773
2010,2009,CR,Critically Endangered,157773
2014,2013,CR,Critically Endangered,15968
1996,1996,DD,Data Deficient,15968
1994,1994,E,Endangered,15968
1990,1990,R,Rare,15968
1988,1988,R,Rare,15968
1986,1986,R,Rare,15968
1983,1983,R,Rare,15968
2020,2019,CR,Critically Endangered,55072
2006,2006,CR,Critically Endangered,55072
2004,2004,EN,Endangered,55072
2015,2014,CR,Critically Endangered,177448
2010,2009,CR,Critically Endangered,177448
2008,2008,CR,Critically Endangered,135488
2009,2007,CR,Critically Endangered,163937
2009,2009,CR,Critically Endangered,169304
2009,2007,CR,Critically Endangered,163892
2021,2020,CR,Critically Endangered,173721301
2020,2020,CR,Critically Endangered,157781173
2021,2020,CR,Critically Endangered,157783266
2018,2017,CR,Critically Endangered,18398
2016,2015,CR,Critically Endangered,18398
2015,2015,CR,Critically Endangered,18398
1996,1996,EN,Endangered,18398
1994,1994,V,Vulnerable,18398
1990,1990,V,Vulnerable,18398
1988,1988,V,Vulnerable,18398
1986,1986,V,Vulnerable,18398
1982,1982,V,Vulnerable,18398
2010,2009,CR,Critically Endangered,18428
1996,1996,CR,Critically Endangered,18428
1994,1994,V,Vulnerable,18428
1990,1990,V,Vulnerable,18428
2010,2006,CR,Critically Endangered,169211
2009,2006,CR,Critically Endangered,169211
2020,2019,CR,Critically Endangered,83129633
2010,2007,CR,Critically Endangered,184538
2010,2007,CR,Critically Endangered,184498
2018,2016,CR,Critically Endangered,97117836
1996,1996,CR,Critically Endangered,18457
1994,1994,E,Endangered,18457
1990,1990,E,Endangered,18457
1988,1988,E,Endangered,18457
1986,1986,E,Endangered,18457
1982,1982,E,Endangered,18457
2021,2020,CR,Critically Endangered,169980360
2018,2018,CR,Critically Endangered,22697531
2016,2016,CR,Critically Endangered,22697531
2015,2015,CR,Critically Endangered,22697531
2013,2013,CR,Critically Endangered,22697531
2012,2012,CR,Critically Endangered,22697531
2011,2011,CR,Critically Endangered,22697531
2010,2010,CR,Critically Endangered,22697531
2009,2009,CR,Critically Endangered,22697531
2008,2008,CR,Critically Endangered,22697531
2004,2004,CR,Critically Endangered,22697531
2000,2000,CR,Critically Endangered,22697531
1996,1996,EN,Endangered,22697531
1994,1994,EN,Endangered,22697531
1988,1988,T,Threatened,22697531
2011,2011,CR,Critically Endangered,172834
2017,2016,CR,Critically Endangered,107649398
2017,2016,CR,Critically Endangered,2564
2007,2007,CR,Critically Endangered,2564
1996,1996,CR,Critically Endangered,2564
1994,1994,E,Endangered,2564
1990,1990,V,Vulnerable,2564
1988,1988,V,Vulnerable,2564
1986,1986,V,Vulnerable,2564
2017,2016,CR,Critically Endangered,107662143
2020,2019,CR,Critically Endangered,41064
2016,2007,CR,Critically Endangered,41064
2007,2007,CR,Critically Endangered,41064
2000,2000,CR,Critically Endangered,41064
2011,2011,CR,Critically Endangered,195005
2011,2009,CR,Critically Endangered,171962
2011,2009,CR,Critically Endangered,164823
2011,2009,CR,Critically Endangered,164885
2020,2018,CR,Critically Endangered,119450611
2018,2018,CR,Critically Endangered,22697896
2016,2016,CR,Critically Endangered,22697896
2015,2015,CR,Critically Endangered,22697896
2013,2013,CR,Critically Endangered,22697896
2012,2012,CR,Critically Endangered,22697896
2010,2010,CR,Critically Endangered,22697896
2009,2009,CR,Critically Endangered,22697896
2008,2008,CR,Critically Endangered,22697896
2007,2007,CR,Critically Endangered,22697896
2006,2006,CR,Critically Endangered,22697896
2004,2004,CR,Critically Endangered,22697896
2000,2000,CR,Critically Endangered,22697896
1996,1996,CR,Critically Endangered,22697896
1994,1994,CR,Critically Endangered,22697896
1988,1988,T,Threatened,22697896
2018,2018,CR,Critically Endangered,22697913
2016,2016,CR,Critically Endangered,22697913
2015,2015,CR,Critically Endangered,22697913
2013,2013,CR,Critically Endangered,22697913
2012,2012,CR,Critically Endangered,22697913
2010,2010,CR,Critically Endangered,22697913
2009,2009,CR,Critically Endangered,22697913
2008,2008,CR,Critically Endangered,22697913
2004,2004,CR,Critically Endangered,22697913
2000,2000,CR,Critically Endangered,22697913
1996,1996,CR,Critically Endangered,22697913
1994,1994,CR,Critically Endangered,22697913
1988,1988,T,Threatened,22697913
2018,2018,CR,Critically Endangered,22697935
2016,2016,CR,Critically Endangered,22697935
2015,2015,CR,Critically Endangered,22697935
2013,2013,CR,Critically Endangered,22697935
2012,2012,CR,Critically Endangered,22697935
2010,2010,CR,Critically Endangered,22697935
2009,2009,CR,Critically Endangered,22697935
2008,2008,CR,Critically Endangered,22697935
2007,2007,CR,Critically Endangered,22697935
2006,2006,CR,Critically Endangered,22697935
2004,2004,CR,Critically Endangered,22697935
2000,2000,CR,Critically Endangered,22697935
1996,1996,CR,Critically Endangered,22697935
1994,1994,CR,Critically Endangered,22697935
1988,1988,T,Threatened,22697935
2018,2017,CR,Critically Endangered,99941632
2018,2017,CR,Critically Endangered,99941794
2010,2009,CR,Critically Endangered,160595
2017,2014,CR,Critically Endangered,18492
2008,2008,VU,Vulnerable,18492
1996,1996,VU,Vulnerable,18492
1994,1994,V,Vulnerable,18492
1965,1965,,"""Status inadequately known-survey required or data sought""",18492
