year,assess_year,code,category,taxonid_iucn
2012,2011,CR,Critically Endangered,3
1996,1996,DD,Data Deficient,3
1994,1994,V,Vulnerable,3
2012,2011,CR,Critically Endangered,198783
2012,2011,CR,Critically Endangered,198784
2012,2011,CR,Critically Endangered,198785
2012,2011,CR,Critically Endangered,198786
2012,2011,CR,Critically Endangered,198787
2012,2011,CR,Critically Endangered,6
1996,1996,DD,Data Deficient,6
1994,1994,V,Vulnerable,6
2012,2011,CR,Critically Endangered,7
1996,1996,DD,Data Deficient,7
1994,1994,V,Vulnerable,7
2012,2011,CR,Critically Endangered,8
1996,1996,DD,Data Deficient,8
1994,1994,V,Vulnerable,8
2011,2011,CR,Critically Endangered,9
1996,1996,DD,Data Deficient,9
2021,2018,CR,Critically Endangered,125160424
2016,2016,CR,Critically Endangered,18
2008,2008,CR,Critically Endangered,18
1996,1996,VU,Vulnerable,18
2013,2012,CR,Critically Endangered,203014
2013,2012,CR,Critically Endangered,29479
2019,2018,CR,Critically Endangered,118245249
2014,2013,CR,Critically Endangered,60633
2006,2006,EN,Endangered,60633
2015,2012,CR,Critically Endangered,203404
2014,2013,CR,Critically Endangered,19017787
2006,2006,CR,Critically Endangered,61454
2009,2008,CR,Critically Endangered,164562
2006,2006,CR,Critically Endangered,61459
2006,2006,CR,Critically Endangered,61463
2020,2014,CR,Critically Endangered,19674914
2014,2014,CR,Critically Endangered,19674914
2014,2011,CR,Critically Endangered,176325
2010,2009,DD,Data Deficient,176325
2021,2020,CR,Critically Endangered,157702758
1996,1996,CR,Critically Endangered,168
1994,1994,E,Endangered,168
1990,1990,E,Endangered,168
1983,1983,E,Endangered,168
1996,1996,CR,Critically Endangered,169
1994,1994,E,Endangered,169
1990,1990,E,Endangered,169
1983,1983,E,Endangered,169
1996,1996,CR,Critically Endangered,171
1994,1994,E,Endangered,171
1990,1990,E,Endangered,171
1983,1983,E,Endangered,171
1996,1996,CR,Critically Endangered,172
1994,1994,E,Endangered,172
1990,1990,E,Endangered,172
1983,1983,E,Endangered,172
1996,1996,CR,Critically Endangered,175
1994,1994,E,Endangered,175
1990,1990,Ex,Extinct,175
1983,1983,E,Endangered,175
1996,1996,CR,Critically Endangered,176
1994,1994,E,Endangered,176
1990,1990,E,Endangered,176
1983,1983,E,Endangered,176
1996,1996,CR,Critically Endangered,177
1994,1994,E,Endangered,177
1990,1990,E,Endangered,177
1983,1983,E,Endangered,177
1996,1996,CR,Critically Endangered,178
1994,1994,E,Endangered,178
1990,1990,E,Endangered,178
1983,1983,E,Endangered,178
1996,1996,CR,Critically Endangered,182
1994,1994,E,Endangered,182
1990,1990,E,Endangered,182
1983,1983,E,Endangered,182
1996,1996,CR,Critically Endangered,183
1994,1994,E,Endangered,183
1990,1990,E,Endangered,183
1983,1983,E,Endangered,183
1996,1996,CR,Critically Endangered,209
1994,1994,E,Endangered,209
1983,1983,E,Endangered,209
1996,1996,CR,Critically Endangered,188
1994,1994,E,Endangered,188
1990,1990,E,Endangered,188
1983,1983,E,Endangered,188
1996,1996,CR,Critically Endangered,190
1994,1994,E,Endangered,190
1990,1990,E,Endangered,190
1983,1983,E,Endangered,190
1996,1996,CR,Critically Endangered,191
1994,1994,E,Endangered,191
1990,1990,E,Endangered,191
1983,1983,E,Endangered,191
1996,1996,CR,Critically Endangered,193
1994,1994,E,Endangered,193
1990,1990,Ex,Extinct,193
1983,1983,E,Endangered,193
1996,1996,CR,Critically Endangered,194
1994,1994,E,Endangered,194
1990,1990,E,Endangered,194
1983,1983,E,Endangered,194
1996,1996,CR,Critically Endangered,195
1994,1994,E,Endangered,195
1990,1990,E,Endangered,195
1983,1983,E,Endangered,195
1996,1996,CR,Critically Endangered,197
1994,1994,E,Endangered,197
1990,1990,E,Endangered,197
1983,1983,E,Endangered,197
1996,1996,CR,Critically Endangered,199
1994,1994,E,Endangered,199
1990,1990,Ex,Extinct,199
1983,1983,E,Endangered,199
1996,1996,CR,Critically Endangered,200
1994,1994,E,Endangered,200
1990,1990,E,Endangered,200
1983,1983,E,Endangered,200
1996,1996,CR,Critically Endangered,201
1994,1994,E,Endangered,201
1990,1990,E,Endangered,201
1983,1983,E,Endangered,201
1996,1996,CR,Critically Endangered,203
1994,1994,E,Endangered,203
1990,1990,E,Endangered,203
1983,1983,E,Endangered,203
1996,1996,CR,Critically Endangered,205
1994,1994,E,Endangered,205
1990,1990,Ex,Extinct,205
1983,1983,E,Endangered,205
1996,1996,CR,Critically Endangered,207
1994,1994,E,Endangered,207
1990,1990,Ex,Extinct,207
1983,1983,E,Endangered,207
2008,2008,CR,Critically Endangered,212
1996,1996,EN,Endangered,212
1994,1994,I,Indeterminate,212
2014,2014,CR,Critically Endangered,20638495
2014,2014,CR,Critically Endangered,20638574
2008,2008,CR,Critically Endangered,221
1996,1996,EN,Endangered,221
2008,2008,CR,Critically Endangered,220
1996,1996,CR,Critically Endangered,220
1994,1994,E,Endangered,220
1990,1990,E,Endangered,220
1988,1988,E,Endangered,220
1986,1986,E,Endangered,220
1965,1965,,"""Very rare and believed to be decreasing in numbers""",220
2010,2009,CR,Critically Endangered,231
1996,1996,CR,Critically Endangered,231
2010,2009,CR,Critically Endangered,232
1996,1996,EN,Endangered,232
2010,2009,CR,Critically Endangered,241
1996,1996,EN,Endangered,241
2011,2009,CR,Critically Endangered,224
2010,2009,CR,Critically Endangered,224
1996,1996,VU,Vulnerable,224
2010,2009,CR,Critically Endangered,225
1996,1996,EN,Endangered,225
2010,2009,CR,Critically Endangered,235
1996,1996,EN,Endangered,235
2010,2009,CR,Critically Endangered,228
1996,1996,EN,Endangered,228
1994,1994,V,Vulnerable,228
1990,1990,V,Vulnerable,228
1988,1988,V,Vulnerable,228
1986,1986,V,Vulnerable,228
2010,2009,CR,Critically Endangered,236
1996,1996,EN,Endangered,236
2010,2009,CR,Critically Endangered,229
1996,1996,EN,Endangered,229
2010,2009,CR,Critically Endangered,230
1996,1996,CR,Critically Endangered,230
1994,1994,E,Endangered,230
1990,1990,E,Endangered,230
1988,1988,E,Endangered,230
