year,assess_year,code,category,taxonid_iucn
2021,2020,CR,Critically Endangered,196581
2013,2011,DD,Data Deficient,196581
2021,2011,CR,Critically Endangered,196585
2014,2012,CR,Critically Endangered,11576
1996,1996,CR,Critically Endangered,11576
1994,1994,E,Endangered,11576
1990,1990,E,Endangered,11576
1988,1988,E,Endangered,11576
1986,1986,E,Endangered,11576
2020,2018,CR,Critically Endangered,136843
2014,2012,EN,Endangered,136843
2008,2008,DD,Data Deficient,136843
2020,2018,CR,Critically Endangered,136771
2014,2012,EN,Endangered,136771
2008,2008,DD,Data Deficient,136771
2020,2018,CR,Critically Endangered,16971489
2014,2012,EN,Endangered,16971489
2020,2018,CR,Critically Endangered,136491
2014,2012,CR,Critically Endangered,136491
2008,2008,DD,Data Deficient,136491
2020,2018,CR,Critically Endangered,136622
2014,2012,EN,Endangered,136622
2008,2008,DD,Data Deficient,136622
2020,2019,CR,Critically Endangered,11621
2014,2012,VU,Vulnerable,11621
2008,2008,DD,Data Deficient,11621
2000,2000,LR/nt,Lower Risk/near threatened,11621
1996,1996,LR/lc,Lower Risk/least concern,11621
1994,1994,R,Rare,11621
1990,1990,R,Rare,11621
1988,1988,K,Insufficiently Known,11621
1986,1986,K,Insufficiently Known,11621
1965,1965,,"""Status inadequately known-survey required or data sought""",11621
2020,2018,CR,Critically Endangered,136645
2014,2012,CR,Critically Endangered,136645
2008,2008,DD,Data Deficient,136645
2020,2018,CR,Critically Endangered,11622
2014,2012,CR,Critically Endangered,11622
2008,2008,CR,Critically Endangered,11622
2000,2000,VU,Vulnerable,11622
1996,1996,VU,Vulnerable,11622
1994,1994,V,Vulnerable,11622
1990,1990,V,Vulnerable,11622
1988,1988,K,Insufficiently Known,11622
1986,1986,K,Insufficiently Known,11622
2020,2018,CR,Critically Endangered,136709
2014,2012,CR,Critically Endangered,136709
2008,2008,DD,Data Deficient,136709
1996,1996,CR,Critically Endangered,11658
2021,2020,CR,Critically Endangered,73727195
2015,2015,CR,Critically Endangered,73727195
2018,2018,CR,Critically Endangered,79681353
2018,2018,CR,Critically Endangered,57546
2004,2004,CR,Critically Endangered,57546
2021,2020,CR,Critically Endangered,149685315
2020,2018,CR,Critically Endangered,79076234
2018,2018,CR,Critically Endangered,79076234
2013,2012,CR,Critically Endangered,54427
2004,2004,EN,Endangered,54427
2015,2012,CR,Critically Endangered,54432
2004,2004,CR,Critically Endangered,54432
2017,2016,CR,Critically Endangered,54440
2004,2004,EN,Endangered,54440
2017,2017,CR,Critically Endangered,57125
2010,2008,CR,Critically Endangered,57125
2004,2004,CR,Critically Endangered,57125
2020,2019,CR,Critically Endangered,57143
2004,2004,CR,Critically Endangered,57143
2020,2019,CR,Critically Endangered,57166
2004,2004,CR,Critically Endangered,57166
2021,2020,CR,Critically Endangered,157732028
2013,2011,CR,Critically Endangered,197676
2019,2018,CR,Critically Endangered,138045255
2016,2015,CR,Critically Endangered,44698567
2013,2013,NT,Near Threatened,44698567
2021,2021,CR,Critically Endangered,22690874
2018,2018,CR,Critically Endangered,22690874
2017,2016,CR,Critically Endangered,22690874
2016,2016,CR,Critically Endangered,22690874
2015,2015,CR,Critically Endangered,22690874
2013,2013,CR,Critically Endangered,22690874
2012,2012,CR,Critically Endangered,22690874
2010,2010,CR,Critically Endangered,22690874
2009,2009,CR,Critically Endangered,22690874
2008,2008,CR,Critically Endangered,22690874
2004,2004,CR,Critically Endangered,22690874
2000,2000,CR,Critically Endangered,22690874
1996,1996,CR,Critically Endangered,22690874
1994,1994,CR,Critically Endangered,22690874
1988,1988,T,Threatened,22690874
1996,1996,CR,Critically Endangered,177734
1994,1994,I,Indeterminate,177734
2011,2011,CR,Critically Endangered,11783
1996,1996,VU,Vulnerable,11783
1994,1994,I,Indeterminate,11783
2018,2017,CR,Critically Endangered,11804
1996,1996,CR,Critically Endangered,11804
1994,1994,E,Endangered,11804
2017,2017,CR,Critically Endangered,109476951
2018,2017,CR,Critically Endangered,11805
1996,1996,EN,Endangered,11805
1994,1994,V,Vulnerable,11805
1996,1996,CR,Critically Endangered,11875
1994,1994,E,Endangered,11875
