year,assess_year,code,category,taxonid_iucn
2020,2019,CR,Critically Endangered,61802
2006,2006,DD,Data Deficient,61802
2020,2019,CR,Critically Endangered,143828186
2020,2019,CR,Critically Endangered,56498
2008,2008,CR,Critically Endangered,56498
2004,2004,CR,Critically Endangered,56498
2019,2019,CR,Critically Endangered,56513
2004,2004,EX,Extinct,56513
2019,2019,CR,Critically Endangered,56516
2004,2004,CR,Critically Endangered,56516
2019,2019,CR,Critically Endangered,56537
2004,2004,CR,Critically Endangered,56537
2020,2019,CR,Critically Endangered,56577
2010,2009,CR,Critically Endangered,56577
2004,2004,CR,Critically Endangered,56577
2004,2008,CR,Critically Endangered,56577
2019,2019,CR,Critically Endangered,56582
2004,2004,CR,Critically Endangered,56582
2020,2019,CR,Critically Endangered,56588
2004,2008,EX,Extinct,56588
2019,2016,CR,Critically Endangered,50922873
2020,2019,CR,Critically Endangered,56598
2019,2019,CR,Critically Endangered,56598
2004,2004,CR,Critically Endangered,56598
2020,2019,CR,Critically Endangered,56603
2013,2013,CR,Critically Endangered,56603
2008,2008,CR,Critically Endangered,56603
2004,2004,CR,Critically Endangered,56603
2020,2019,CR,Critically Endangered,56641
2014,2013,CR,Critically Endangered,56641
2010,2009,EN,Endangered,56641
2008,2008,EN,Endangered,56641
2004,2004,EN,Endangered,56641
2020,2019,CR,Critically Endangered,56665
2004,2004,EN,Endangered,56665
2019,2019,CR,Critically Endangered,56761
2004,2004,CR,Critically Endangered,56761
2020,2019,CR,Critically Endangered,56765
2009,2009,CR,Critically Endangered,56765
2004,2004,EX,Extinct,56765
2020,2019,CR,Critically Endangered,61803
2006,2006,DD,Data Deficient,61803
2020,2019,CR,Critically Endangered,56799
2014,2013,CR,Critically Endangered,56799
2008,2008,EN,Endangered,56799
2004,2004,EN,Endangered,56799
2019,2019,CR,Critically Endangered,56807
2004,2004,CR,Critically Endangered,56807
2020,2019,CR,Critically Endangered,56853
2008,2008,DD,Data Deficient,56853
2004,2004,DD,Data Deficient,56853
2020,2019,CR,Critically Endangered,56876
2004,2004,CR,Critically Endangered,56876
2020,2019,CR,Critically Endangered,56888
2004,2004,EN,Endangered,56888
2020,2019,CR,Critically Endangered,56901
2008,2008,CR,Critically Endangered,56901
2004,2004,CR,Critically Endangered,56901
2020,2019,CR,Critically Endangered,56913
2008,2008,EN,Endangered,56913
2004,2004,EN,Endangered,56913
2019,2019,CR,Critically Endangered,56942
2004,2004,CR,Critically Endangered,56942
2019,2019,CR,Critically Endangered,56976
2004,2004,CR,Critically Endangered,56976
2020,2019,CR,Critically Endangered,61804
2006,2006,CR,Critically Endangered,61804
2020,2019,CR,Critically Endangered,56996
2004,2004,DD,Data Deficient,56996
2020,2019,CR,Critically Endangered,57013
2004,2004,CR,Critically Endangered,57013
2016,2016,CR,Critically Endangered,22678525
2013,2013,CR,Critically Endangered,22678525
2012,2012,CR,Critically Endangered,22678525
2010,2010,CR,Critically Endangered,22678525
2009,2009,CR,Critically Endangered,22678525
2008,2008,CR,Critically Endangered,22678525
2004,2004,CR,Critically Endangered,22678525
2000,2000,CR,Critically Endangered,22678525
1996,1996,CR,Critically Endangered,22678525
1994,1994,CR,Critically Endangered,22678525
1988,1988,T,Threatened,22678525
2018,2016,CR,Critically Endangered,45092131
2016,2016,CR,Critically Endangered,45092131
2015,2015,CR,Critically Endangered,45092131
2014,2014,CR,Critically Endangered,45092131
2016,2016,CR,Critically Endangered,5514
2008,2008,CR,Critically Endangered,5514
2000,2000,VU,Vulnerable,5514
1996,1996,VU,Vulnerable,5514
2020,2019,CR,Critically Endangered,5529
2016,2016,LC,Least Concern,5529
2008,2008,LC,Least Concern,5529
1996,1996,LR/lc,Lower Risk/least concern,5529
2021,2020,CR,Critically Endangered,22720310
2018,2018,CR,Critically Endangered,22720310
2016,2016,CR,Critically Endangered,22720310
2015,2015,CR,Critically Endangered,22720310
2013,2013,CR,Critically Endangered,22720310
2012,2012,CR,Critically Endangered,22720310
2009,2009,CR,Critically Endangered,22720310
2008,2008,CR,Critically Endangered,22720310
2004,2004,CR,Critically Endangered,22720310
2000,2000,CR,Critically Endangered,22720310
1996,1996,CR,Critically Endangered,22720310
1994,1994,CR,Critically Endangered,22720310
1988,1988,T,Threatened,22720310
2016,2016,CR,Critically Endangered,5595
2008,2008,CR,Critically Endangered,5595
2002,2002,DD,Data Deficient,5595
1996,1996,EN,Endangered,5595
2016,2016,CR,Critically Endangered,5633
2008,2008,CR,Critically Endangered,5633
2004,2004,CR,Critically Endangered,5633
1996,1996,CR,Critically Endangered,5633
2016,2016,CR,Critically Endangered,5604
2008,2008,CR,Critically Endangered,5604
2002,2002,DD,Data Deficient,5604
1996,1996,CR,Critically Endangered,5604
2016,2016,CR,Critically Endangered,5610
2008,2008,CR,Critically Endangered,5610
2002,2002,DD,Data Deficient,5610
1996,1996,EN,Endangered,5610
2016,2015,CR,Critically Endangered,136379
2008,2008,CR,Critically Endangered,136379
2016,2016,CR,Critically Endangered,5587
2008,2008,CR,Critically Endangered,5587
2004,2004,CR,Critically Endangered,5587
1996,1996,EN,Endangered,5587
1994,1994,K,Insufficiently Known,5587
1990,1990,K,Insufficiently Known,5587
2018,2017,CR,Critically Endangered,5661
1996,1996,CR,Critically Endangered,5661
1994,1994,E,Endangered,5661
1990,1990,E,Endangered,5661
1988,1988,E,Endangered,5661
1986,1986,E,Endangered,5661
1982,1982,E,Endangered,5661
2016,2012,CR,Critically Endangered,5672
1996,1996,CR,Critically Endangered,5672
1994,1994,E,Endangered,5672
1990,1990,E,Endangered,5672
1988,1988,E,Endangered,5672
1986,1986,E,Endangered,5672
1982,1982,E,Endangered,5672
2008,2008,CR,Critically Endangered,5670
1996,1996,EN,Endangered,5670
1994,1994,E,Endangered,5670
1990,1990,E,Endangered,5670
1988,1988,E,Endangered,5670
1986,1986,E,Endangered,5670
1982,1982,E,Endangered,5670
2012,2012,CR,Critically Endangered,5671
1996,1996,CR,Critically Endangered,5671
1994,1994,E,Endangered,5671
1990,1990,E,Endangered,5671
1988,1988,E,Endangered,5671
1986,1986,E,Endangered,5671
1982,1982,E,Endangered,5671
2011,2011,CR,Critically Endangered,188988
2007,2007,CR,Critically Endangered,64314
2018,2017,CR,Critically Endangered,59649
