year,assess_year,code,category,taxonid_iucn
1996,1996,EN,Endangered,15986
1994,1994,E,Endangered,15986
1990,1990,E,Endangered,15986
1988,1988,E,Endangered,15986
1986,1986,E,Endangered,15986
1985,1985,E,Endangered,15986
2018,2018,EN,Endangered,15988
1996,1996,VU,Vulnerable,15988
1994,1994,V,Vulnerable,15988
1990,1990,V,Vulnerable,15988
1988,1988,V,Vulnerable,15988
1986,1986,V,Vulnerable,15988
1985,1985,V,Vulnerable,15988
2018,2018,EN,Endangered,122530997
1996,1996,EN,Endangered,15992
1994,1994,E,Endangered,15992
1990,1990,E,Endangered,15992
1988,1988,E,Endangered,15992
1986,1986,E,Endangered,15992
1985,1985,E,Endangered,15992
1983,1983,V,Vulnerable,15992
2020,2019,EN,Endangered,122540322
2010,2009,EN,Endangered,155612
2019,2019,EN,Endangered,79
1996,1996,LR/cd,Lower Risk/conservation dependent,79
1994,1994,V,Vulnerable,79
2006,2006,EN,Endangered,60827
2010,2007,EN,Endangered,154986
2020,2020,EN,Endangered,40652
2008,2008,CR,Critically Endangered,40652
2000,2000,EN,Endangered,40652
1996,1996,DD,Data Deficient,40652
2020,2020,EN,Endangered,136924
2008,2008,EN,Endangered,136924
2019,2019,EN,Endangered,122904093
2019,2019,EN,Endangered,122904106
2019,2019,EN,Endangered,122904234
2019,2019,EN,Endangered,16109
2009,2007,VU,Vulnerable,16109
1996,1996,VU,Vulnerable,16109
1994,1994,R,Rare,16109
2021,2020,EN,Endangered,161707
2009,2008,DD,Data Deficient,161707
2020,2020,EN,Endangered,161543
2009,2007,DD,Data Deficient,161543
2011,2011,EN,Endangered,172827
2021,2020,EN,Endangered,149166676
2021,2019,EN,Endangered,149166647
2019,2018,EN,Endangered,91216070
2019,2018,EN,Endangered,91216165
2010,2007,EN,Endangered,183769
2011,2011,EN,Endangered,166017
2016,2016,EN,Endangered,16121
2008,2008,EN,Endangered,16121
1996,1996,LR/lc,Lower Risk/least concern,16121
1996,1996,EN,Endangered,16123
1994,1994,E,Endangered,16123
1996,1996,EN,Endangered,16127
2016,2016,EN,Endangered,136701
2008,2008,EN,Endangered,136701
2004,2004,EN,Endangered,59459
2020,2019,EN,Endangered,78531041
2020,2019,EN,Endangered,78532178
2020,2019,EN,Endangered,182709
2010,2006,EN,Endangered,182709
2011,2009,EN,Endangered,196087
2010,2009,EN,Endangered,181873
2010,2009,EN,Endangered,182431
2015,2014,EN,Endangered,50148695
2016,2015,EN,Endangered,68446564
2016,2015,EN,Endangered,44697976
2016,2015,EN,Endangered,16138
2008,2008,EN,Endangered,16138
1996,1996,EN,Endangered,16138
1994,1994,E,Endangered,16138
1990,1990,I,Indeterminate,16138
1988,1988,I,Indeterminate,16138
1986,1986,I,Indeterminate,16138
1982,1982,I,Indeterminate,16138
1996,1996,EN,Endangered,16147
1994,1994,R,Rare,16147
1990,1990,R,Rare,16147
1988,1988,R,Rare,16147
1986,1986,R,Rare,16147
1996,1996,EN,Endangered,16148
1994,1994,R,Rare,16148
1990,1990,R,Rare,16148
1988,1988,R,Rare,16148
1986,1986,R,Rare,16148
1996,1996,EN,Endangered,16150
1994,1994,R,Rare,16150
1990,1990,R,Rare,16150
1988,1988,R,Rare,16150
1986,1986,R,Rare,16150
1996,1996,EN,Endangered,16157
1994,1994,R,Rare,16157
1990,1990,R,Rare,16157
1988,1988,R,Rare,16157
1986,1986,R,Rare,16157
1996,1996,EN,Endangered,16158
1994,1994,R,Rare,16158
1990,1990,R,Rare,16158
1988,1988,R,Rare,16158
1986,1986,R,Rare,16158
1996,1996,EN,Endangered,16164
1996,1996,EN,Endangered,16185
1994,1994,K,Insufficiently Known,16185
1990,1990,K,Insufficiently Known,16185
1988,1988,K,Insufficiently Known,16185
1986,1986,K,Insufficiently Known,16185
2011,2010,EN,Endangered,172480
2010,2009,EN,Endangered,173215
2021,2020,EN,Endangered,128724324
2008,2008,EN,Endangered,133692
2008,2008,EN,Endangered,134718
2018,2018,EN,Endangered,134327
2008,2008,LC,Least Concern,134327
2008,2008,EN,Endangered,134392
2018,2018,EN,Endangered,134415
2008,2008,VU,Vulnerable,134415
2010,2009,EN,Endangered,181879
2016,2016,EN,Endangered,16212
2008,2008,EN,Endangered,16212
2004,2004,CR,Critically Endangered,16212
1996,1996,VU,Vulnerable,16212
2016,2016,EN,Endangered,22704493
2012,2012,EN,Endangered,22704493
2008,2008,EN,Endangered,22704493
2004,2004,EN,Endangered,22704493
2000,2000,EN,Endangered,22704493
1996,1996,VU,Vulnerable,22704493
1994,1994,VU,Vulnerable,22704493
1988,1988,T,Threatened,22704493
2018,2018,EN,Endangered,19672946
