year,assess_year,code,category,taxonid_iucn
2018,2018,EN,Endangered,103890694
2016,2016,VU,Vulnerable,103890694
2021,2020,EN,Endangered,22714082
2019,2019,EN,Endangered,22714082
2016,2016,VU,Vulnerable,22714082
2012,2012,NT,Near Threatened,22714082
2008,2008,NT,Near Threatened,22714082
2004,2004,NT,Near Threatened,22714082
2000,2000,LR/nt,Lower Risk/near threatened,22714082
1994,1994,LR/nt,Lower Risk/near threatened,22714082
1988,1988,T,Threatened,22714082
2016,2016,EN,Endangered,22714185
2012,2012,EN,Endangered,22714185
2008,2008,EN,Endangered,22714185
2004,2004,EN,Endangered,22714185
2002,2002,EN,Endangered,22714185
2000,2000,CR,Critically Endangered,22714185
1996,1996,VU,Vulnerable,22714185
1994,1994,VU,Vulnerable,22714185
1988,1988,T,Threatened,22714185
2016,2016,EN,Endangered,22714043
2008,2008,NR,Not Recognized,22714043
2004,2004,NR,Not Recognized,22714043
2000,2000,NR,Not Recognized,22714043
1994,1994,LR/nt,Lower Risk/near threatened,22714043
1988,1988,NR,Not Recognized,22714043
2016,2016,EN,Endangered,22713957
2008,2008,NR,Not Recognized,22713957
2006,2006,NR,Not Recognized,22713957
2004,2004,EN,Endangered,22713957
2000,2000,EN,Endangered,22713957
1994,1994,CR,Critically Endangered,22713957
1988,1988,NR,Not Recognized,22713957
2016,2016,EN,Endangered,22716237
2012,2012,EN,Endangered,22716237
2008,2008,EN,Endangered,22716237
2004,2004,EN,Endangered,22716237
2000,2000,EN,Endangered,22716237
1996,1996,EN,Endangered,22716237
1994,1994,EN,Endangered,22716237
1988,1988,T,Threatened,22716237
2021,2019,EN,Endangered,196970
2018,2016,EN,Endangered,23323
2008,2008,EN,Endangered,23323
1996,1996,EN,Endangered,23323
1994,1994,I,Indeterminate,23323
1990,1990,I,Indeterminate,23323
