year,assess_year,code,category,taxonid_iucn
2018,2017,EN,Endangered,41226
2004,2004,DD,Data Deficient,41226
2000,2000,VU,Vulnerable,41226
2020,2018,EN,Endangered,79934933
2019,2018,EN,Endangered,79934933
2017,2016,EN,Endangered,816
2008,2008,EN,Endangered,816
1996,1996,LR/cd,Lower Risk/conservation dependent,816
2017,2016,EN,Endangered,809
2008,2008,EN,Endangered,809
1996,1996,EN,Endangered,809
1994,1994,E,Endangered,809
1990,1990,E,Endangered,809
1988,1988,E,Endangered,809
1986,1986,E,Endangered,809
1965,1965,,"""Very rare and believed to be decreasing in numbers""",809
2006,2006,EN,Endangered,60452
2010,2006,EN,Endangered,182708
2010,2009,EN,Endangered,182881
2020,2019,EN,Endangered,169424
2010,2006,NT,Near Threatened,169424
2009,2007,VU,Vulnerable,169424
2019,2018,EN,Endangered,191247
2019,2018,EN,Endangered,191248
2019,2018,EN,Endangered,191249
2019,2018,EN,Endangered,191253
2009,2008,EN,Endangered,840
2006,2006,EN,Endangered,840
1996,1996,VU,Vulnerable,840
2017,2016,EN,Endangered,86862982
2018,2018,EN,Endangered,55045
2004,2004,DD,Data Deficient,55045
2020,2020,EN,Endangered,55092
2004,2004,VU,Vulnerable,55092
2017,2016,EN,Endangered,77187242
2019,2016,EN,Endangered,55099
2004,2004,CR,Critically Endangered,55099
2004,2004,EN,Endangered,55100
2020,2020,EN,Endangered,55108
2004,2004,EN,Endangered,55108
2019,2019,EN,Endangered,55131
2004,2004,DD,Data Deficient,55131
2020,2018,EN,Endangered,868
2014,2012,VU,Vulnerable,868
2008,2008,DD,Data Deficient,868
2000,2000,EN,Endangered,868
1996,1996,CR,Critically Endangered,868
1994,1994,E,Endangered,868
1990,1990,E,Endangered,868
1988,1988,E,Endangered,868
1986,1986,E,Endangered,868
2019,2018,EN,Endangered,4227
2016,2008,EN,Endangered,4227
2008,2008,EN,Endangered,4227
2000,2000,EN,Endangered,4227
1996,1996,EN,Endangered,4227
1994,1994,E,Endangered,4227
1990,1990,E,Endangered,4227
1988,1988,E,Endangered,4227
1986,1986,V,Vulnerable,4227
2019,2016,EN,Endangered,4237
2016,2008,EN,Endangered,4237
2008,2008,EN,Endangered,4237
2000,2000,EN,Endangered,4237
1996,1996,EN,Endangered,4237
2019,2018,EN,Endangered,4244
2016,2008,EN,Endangered,4244
2008,2008,EN,Endangered,4244
2000,2000,EN,Endangered,4244
1996,1996,EN,Endangered,4244
2018,2017,EN,Endangered,59695
2010,2008,NT,Near Threatened,59695
2006,2006,DD,Data Deficient,59695
2010,2006,EN,Endangered,59840
2006,2006,EN,Endangered,59840
2020,2016,EN,Endangered,84379452
2018,2009,EN,Endangered,84379452
2017,2016,EN,Endangered,84379452
2010,2009,EN,Endangered,84379452
2019,2018,EN,Endangered,191369
2019,2018,EN,Endangered,158519
2018,2008,EN,Endangered,158519
2009,2008,EN,Endangered,158519
2019,2018,EN,Endangered,191695
2011,2011,EN,Endangered,172762
2017,2015,EN,Endangered,80373280
2017,2015,EN,Endangered,80373484
2020,2018,EN,Endangered,161277000
